Q-TEM Local Simulation Results
========================================
State: 11100100001011000000 | Prob: 0.00011090
State: 11100000001011000000 | Prob: 0.00011090
State: 10001100001011000000 | Prob: 0.00011090
State: 01100100001011000000 | Prob: 0.00011090
State: 01100000001011000000 | Prob: 0.00011090
State: 01011100001011000000 | Prob: 0.00011090
State: 11100010001011000000 | Prob: 0.00011090
State: 01101100001011000000 | Prob: 0.00011090
State: 00101100001011000000 | Prob: 0.00011090
State: 01100110001011000000 | Prob: 0.00011090
State: 11000100001011000000 | Prob: 0.00011090
State: 10101010001011000000 | Prob: 0.00011090
State: 10001110001011000000 | Prob: 0.00011090
State: 11010100001011000000 | Prob: 0.00011090
State: 11001100001011000000 | Prob: 0.00011090
State: 00001100001011000000 | Prob: 0.00011090
State: 01110100001011000000 | Prob: 0.00011090
State: 10010010001011000000 | Prob: 0.00011090
State: 01000100001011000000 | Prob: 0.00011090
State: 10010110001011000000 | Prob: 0.00011090
State: 10100000001011000000 | Prob: 0.00011090
State: 01100010001011000000 | Prob: 0.00011090
State: 11110100001011000000 | Prob: 0.00011090
State: 01010100001011000000 | Prob: 0.00011090
State: 00011100001011000000 | Prob: 0.00011090
State: 01111100001011000000 | Prob: 0.00011090
State: 10111100001011000000 | Prob: 0.00011090
State: 10100100001011000000 | Prob: 0.00011090
State: 11101100001011000000 | Prob: 0.00011090
State: 00100100001011000000 | Prob: 0.00011090
State: 11011100001011000000 | Prob: 0.00011090
State: 11100110001011000000 | Prob: 0.00011090
State: 10010100001011000000 | Prob: 0.00011090
State: 00110100001011000000 | Prob: 0.00011090
State: 10010000001011000000 | Prob: 0.00011090
State: 00101010001011000000 | Prob: 0.00011090
State: 10110100001011000000 | Prob: 0.00011090
State: 01101010001011000000 | Prob: 0.00011090
State: 10101100001011000000 | Prob: 0.00011090
State: 01001100001011000000 | Prob: 0.00011090
State: 10011100001011000000 | Prob: 0.00011090
State: 00100000001011000000 | Prob: 0.00011090
State: 11101010001011000000 | Prob: 0.00011090
State: 11111100001011000000 | Prob: 0.00011090
State: 00111100001011000000 | Prob: 0.00011090
State: 11000000001011000000 | Prob: 0.00011090
State: 00101110001011000000 | Prob: 0.00011090
State: 01000010001011000000 | Prob: 0.00011090
State: 00110000001011000000 | Prob: 0.00011090
State: 01110010001011000000 | Prob: 0.00011090
State: 11111000001011000000 | Prob: 0.00011090
State: 11111110001011000000 | Prob: 0.00011090
State: 10011110001011000000 | Prob: 0.00011090
State: 01010000001011000000 | Prob: 0.00011090
State: 01101110001011000000 | Prob: 0.00011090
State: 10011000001011000000 | Prob: 0.00011090
State: 00011010001011000000 | Prob: 0.00011090
State: 01011000001011000000 | Prob: 0.00011090
State: 01111010001011000000 | Prob: 0.00011090
State: 00110010001011000000 | Prob: 0.00011090
State: 10000000001011000000 | Prob: 0.00011090
State: 10110110001011000000 | Prob: 0.00011090
State: 00101000001011000000 | Prob: 0.00011090
State: 01110000001011000000 | Prob: 0.00011090
State: 01011110001011000000 | Prob: 0.00011090
State: 00010100001011000000 | Prob: 0.00011090
State: 00010000001011000000 | Prob: 0.00011090
State: 00111110001011000000 | Prob: 0.00011090
State: 10110000001011000000 | Prob: 0.00011090
State: 11111010001011000000 | Prob: 0.00011090
State: 11010110001011000000 | Prob: 0.00011090
State: 10110010001011000000 | Prob: 0.00011090
State: 10111010001011000000 | Prob: 0.00011090
State: 11110110001011000000 | Prob: 0.00011090
State: 01011010001011000000 | Prob: 0.00011090
State: 00111000001011000000 | Prob: 0.00011090
State: 11101110001011000000 | Prob: 0.00011090
State: 11000010001011000000 | Prob: 0.00011090
State: 10001010001011000000 | Prob: 0.00011090
State: 01110110001011000000 | Prob: 0.00011090
State: 11110010001011000000 | Prob: 0.00011090
State: 11011010001011000000 | Prob: 0.00011090
State: 01101000001011000000 | Prob: 0.00011090
State: 10000100001011000000 | Prob: 0.00011090
State: 10101000001011000000 | Prob: 0.00011090
State: 10011010001011000000 | Prob: 0.00011090
State: 11001110001011000000 | Prob: 0.00011090
State: 11101000001011000000 | Prob: 0.00011090
State: 10100110001011000000 | Prob: 0.00011090
State: 11011110001011000000 | Prob: 0.00011090
State: 10101110001011000000 | Prob: 0.00011090
State: 00110110001011000000 | Prob: 0.00011090
State: 01111110001011000000 | Prob: 0.00011090
State: 01010110001011000000 | Prob: 0.00011090
State: 01001110001011000000 | Prob: 0.00011090
State: 11000110001011000000 | Prob: 0.00011090
State: 01000110001011000000 | Prob: 0.00011090
State: 10111000001011000000 | Prob: 0.00011090
State: 00100110001011000000 | Prob: 0.00011090
State: 11010010001011000000 | Prob: 0.00011090
