gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
NCKAP5	CD44	8	171	1.5618	-0.2	1.7618	0.14202153870620224	0.9962269014109203	False
NCKAP5	CHI3L1	8	171	1.3632	0.1107	1.2525	0.22242127259331176	0.9962269014109203	False
INPP4B	CD44	6	173	-0.8539	-0.1808	-0.6731	0.3037742582644416	0.9962269014109203	False
INPP4B	CHI3L1	6	173	-0.7865	0.1594	-0.9459	0.38946958003050336	0.9962269014109203	False
ELN	CHI3L1	5	174	1.408	0.1231	1.2848	0.1390638624224353	0.9962269014109203	False
LTBP4	CD44	12	167	-0.1952	-0.1808	-0.0144	0.29783996199430807	0.9962269014109203	False
INCENP	CD44	7	172	-1.4391	-0.1606	-1.2784	0.03922655172404945	0.9962269014109203	False
INCENP	CHI3L1	7	172	-0.679	0.1972	-0.8762	0.309769660279521	0.9962269014109203	False
BAZ1B	CHI3L1	7	172	-0.7039	0.166	-0.8699	0.3658290146676177	0.9962269014109203	False
EVC2	CD44	7	172	-0.5204	-0.1761	-0.3442	0.41475401264344175	0.9962269014109203	False
AGL	CHI3L1	11	168	-0.7039	0.166	-0.8699	0.30580429938120246	0.9962269014109203	False
DHRS4	CHI3L1	5	174	-1.0271	0.1972	-1.2243	0.06419466084845066	0.9962269014109203	False
TRHDE	CHI3L1	9	170	-0.9099	0.1972	-1.107	0.14736106897625983	0.9962269014109203	False
PDS5B	CHI3L1	5	174	-0.2085	0.166	-0.3744	0.23666630360157223	0.9962269014109203	False
SLC9B1	CD44	5	174	-0.999	-0.1761	-0.8228	0.30954874278774286	0.9962269014109203	False
SLC9B1	CHI3L1	5	174	-0.7039	0.166	-0.8699	0.28915281843683893	0.9962269014109203	False
HAVCR1	CD44	5	174	2.7576	-0.2113	2.9689	0.028434034938781567	0.9962269014109203	False
HAVCR1	CHI3L1	5	174	2.6496	0.1452	2.5044	0.1761340608581199	0.9962269014109203	False
MYOM1	CHI3L1	8	171	0.8125	0.1547	0.6578	0.1755969958822206	0.9962269014109203	False
ABCC8	CD44	7	172	0.8239	-0.2113	1.0353	0.2148827339439351	0.9962269014109203	False
CUL1	CHI3L1	8	171	1.2908	0.1356	1.1552	0.11180404088815964	0.9962269014109203	False
TCOF1	CD44	8	171	-0.4091	-0.1724	-0.2367	0.3026886182208733	0.9962269014109203	False
DMRTC2	CD44	7	172	-0.309	-0.1761	-0.1329	0.4105412165794226	0.9962269014109203	False
DMRTC2	CHI3L1	7	172	1.408	0.1452	1.2628	0.398049704985716	0.9962269014109203	False
MAP4K2	CHI3L1	5	174	-1.0398	0.166	-1.2057	0.11840401927014853	0.9962269014109203	False
KIAA0368	CD44	10	169	1.7905	-0.2	1.9905	0.29858947825428916	0.9962269014109203	False
PHKA1	CHI3L1	9	170	-0.8891	0.1972	-1.0862	0.14012657516637428	0.9962269014109203	False
TOPORS	CD44	6	173	-0.6651	-0.1724	-0.4926	0.3000159991979881	0.9962269014109203	False
TOPORS	CHI3L1	6	173	-1.8558	0.1726	-2.0284	0.03518527192621652	0.9962269014109203	False
DEPDC5	CHI3L1	11	168	-0.8891	0.303	-1.1921	0.07592318622887227	0.9962269014109203	False
TCF12	CD44	6	173	-0.9351	-0.1724	-0.7627	0.2675208584289135	0.9962269014109203	False
TCF12	CHI3L1	6	173	-1.4719	0.1726	-1.6445	0.09881918166073599	0.9962269014109203	False
KMT2D	CHI3L1	15	164	1.1736	0.0915	1.0822	0.19759509125639008	0.9962269014109203	False
COG7	CHI3L1	8	171	-0.6915	0.1726	-0.8641	0.34011764260766786	0.9962269014109203	False
KIT	CD44	9	170	-0.2727	-0.1803	-0.0923	0.3468892911616085	0.9962269014109203	False
KIT	CHI3L1	9	170	0.9416	0.1231	0.8185	0.42637008680481825	0.9962269014109203	False
GMIP	CHI3L1	6	173	1.4803	0.1356	1.3447	0.20380954244184782	0.9962269014109203	False
DYSF	CD44	13	166	0.8239	-0.2113	1.0353	0.1868164142437958	0.9962269014109203	False
DYSF	CHI3L1	13	166	1.1736	0.1231	1.0505	0.14609862297592185	0.9962269014109203	False
LRP8	CD44	9	170	-0.5917	-0.1606	-0.4311	0.1728500144181464	0.9962269014109203	False
LRP8	CHI3L1	9	170	-0.7039	0.1972	-0.9011	0.06408674561641303	0.9962269014109203	False
MAP2K2	CHI3L1	5	174	-1.1806	0.157	-1.3377	0.38063646503943604	0.9962269014109203	False
DIDO1	CD44	7	172	2.7576	-0.1904	2.948	0.20664223033751702	0.9962269014109203	False
NBPF14	CD44	5	174	1.3596	-0.2113	1.5709	0.1878775756660151	0.9962269014109203	False
GPR125	CHI3L1	6	173	1.8193	0.1356	1.6837	0.24718388151333806	0.9962269014109203	False
MAGEC1	CD44	9	170	0.4374	-0.1904	0.6278	0.3710901126413476	0.9962269014109203	False
MAGEC1	CHI3L1	9	170	0.4402	0.1452	0.295	0.1728500144181464	0.9962269014109203	False
ELK1	CHI3L1	5	174	-1.0398	0.1972	-1.2369	0.0944615269572793	0.9962269014109203	False
PRRC2C	CHI3L1	12	167	-0.4438	0.1594	-0.6031	0.39812558313862256	0.9962269014109203	False
ENPP7	CD44	5	174	-1.1786	-0.1761	-1.0024	0.12278881163903332	0.9962269014109203	False
ENPP7	CHI3L1	5	174	-0.679	0.166	-0.845	0.33517143799739624	0.9962269014109203	False
MCF2L	CD44	6	173	-0.8491	-0.1724	-0.6767	0.19807233341366753	0.9962269014109203	False
MCF2L	CHI3L1	6	173	-1.0565	0.1594	-1.2159	0.24063952430758279	0.9962269014109203	False
DLC1	CD44	12	167	0.0968	-0.1808	0.2776	0.29517134086995145	0.9962269014109203	False
DLC1	CHI3L1	12	167	0.9156	0.1356	0.78	0.3339961021970116	0.9962269014109203	False
DHX9	CHI3L1	8	171	1.3632	0.1356	1.2275	0.3916897914682833	0.9962269014109203	False
CDKL2	CHI3L1	7	172	0.8977	0.1452	0.7525	0.3619140605334391	0.9962269014109203	False
APBA2	CD44	5	174	2.4694	-0.1904	2.6598	0.09085086600835132	0.9962269014109203	False
DEPDC5	CD44	11	168	-0.45	-0.1434	-0.3066	0.05889644541891094	0.9962269014109203	False
GLI1	CD44	6	173	-0.9892	-0.1724	-0.8168	0.07552655863554696	0.9962269014109203	False
GLI1	CHI3L1	6	173	-0.7224	0.1726	-0.895	0.1467785074486696	0.9962269014109203	False
SOGA3	CD44	7	172	-1.1168	-0.1606	-0.9562	0.044039593134307914	0.9962269014109203	False
ATXN2	CD44	7	172	-0.8116	-0.1761	-0.6355	0.1442797609572121	0.9962269014109203	False
IL16	CHI3L1	6	173	-0.9118	0.1726	-1.0844	0.07277107833420947	0.9962269014109203	False
CACNA1C	CHI3L1	5	174	-0.679	0.157	-0.8361	0.3137323428394351	0.9962269014109203	False
ANKRD50	CD44	8	171	-1.2302	-0.1724	-1.0578	0.1307376400720612	0.9962269014109203	False
PON3	CHI3L1	5	174	-0.679	0.166	-0.845	0.14649131207520197	0.9962269014109203	False
IGSF9B	CHI3L1	6	173	1.0241	0.1356	0.8884	0.38075708796057056	0.9962269014109203	False
TPP2	CD44	5	174	-2.601	-0.1606	-2.4404	0.007517040559004364	0.9962269014109203	False
TPP2	CHI3L1	5	174	-0.679	0.166	-0.845	0.3222038586418237	0.9962269014109203	False
ANKMY2	CD44	5	174	-0.8116	-0.1606	-0.651	0.1541966730203289	0.9962269014109203	False
IQCE	CD44	6	173	2.2472	-0.2	2.4472	0.05670166446817552	0.9962269014109203	False
IQCE	CHI3L1	6	173	-0.8903	0.1594	-1.0497	0.3636764174473095	0.9962269014109203	False
RBMXL3	CD44	9	170	0.678	-0.1904	0.8684	0.3571354221234042	0.9962269014109203	False
RBMXL3	CHI3L1	9	170	-0.7039	0.1972	-0.9011	0.1707792879820973	0.9962269014109203	False
CC2D2A	CD44	6	173	0.3215	-0.2	0.5215	0.2675208584289135	0.9962269014109203	False
ALPP	CHI3L1	6	173	-0.8235	0.2217	-1.0452	0.07693401160970484	0.9962269014109203	False
OR4F15	CD44	6	173	0.5727	-0.2	0.7727	0.23104179019663615	0.9962269014109203	False
OR4F15	CHI3L1	6	173	-0.5224	0.1594	-0.6818	0.30756202118394527	0.9962269014109203	False
PPP6R2	CD44	5	174	-0.45	-0.1761	-0.2739	0.3901386914648556	0.9962269014109203	False
SKIDA1	CHI3L1	6	173	1.0573	0.1356	0.9217	0.42085517962799024	0.9962269014109203	False
CLCNKB	CD44	6	173	-0.5837	-0.1724	-0.4112	0.2538453605515898	0.9962269014109203	False
SIDT2	CD44	6	173	-0.7083	-0.1724	-0.5358	0.2606242681124236	0.9962269014109203	False
MYLK	CD44	15	164	-0.309	-0.1606	-0.1484	0.35007713988671463	0.9962269014109203	False
P4HA3	CD44	6	173	-0.5978	-0.1724	-0.4254	0.16103040682975386	0.9962269014109203	False
P4HA3	CHI3L1	6	173	-0.9118	0.1594	-1.0712	0.3679033645239788	0.9962269014109203	False
CCDC171	CHI3L1	5	174	0.8745	0.1452	0.7294	0.33081424649745245	0.9962269014109203	False
IL16	CD44	6	173	-0.8491	-0.1724	-0.6767	0.19807233341366753	0.9962269014109203	False
CTBP2	CHI3L1	5	174	-0.64	0.166	-0.806	0.3901386914648556	0.9962269014109203	False
SOX9	CHI3L1	5	174	-0.64	0.166	-0.806	0.24019059991723896	0.9962269014109203	False
C6ORF165	CHI3L1	6	173	-1.1262	0.1726	-1.2988	0.023950710101586285	0.9962269014109203	False
OR5L1	CD44	5	174	-0.9665	-0.1761	-0.7904	0.1120424141458709	0.9962269014109203	False
GPAM	CHI3L1	5	174	-1.1446	0.1972	-1.3417	0.010042909706926879	0.9962269014109203	False
LRRC7	CD44	5	174	0.8239	-0.2113	1.0353	0.23666630360157223	0.9962269014109203	False
LRRC7	CHI3L1	5	174	1.5527	0.1231	1.4296	0.2734628049344375	0.9962269014109203	False
SEMA3E	CD44	5	174	-1.4524	-0.1761	-1.2763	0.07131539902302376	0.9962269014109203	False
SEMA3E	CHI3L1	5	174	0.4402	0.1452	0.295	0.4095461783497796	0.9962269014109203	False
RGSL1	CHI3L1	6	173	1.9002	0.1356	1.7646	0.2606242681124236	0.9962269014109203	False
SAFB2	CHI3L1	5	174	-1.0398	0.166	-1.2057	0.2620603824828826	0.9962269014109203	False
MAP3K10	CD44	8	171	1.0223	-0.2	1.2223	0.31598201925839114	0.9962269014109203	False
DOPEY2	CD44	9	170	-0.8866	-0.1761	-0.7105	0.4074307339358164	0.9962269014109203	False
DOPEY2	CHI3L1	9	170	-0.679	0.166	-0.845	0.18348591873139442	0.9962269014109203	False
AKAP13	CD44	13	166	-0.2727	-0.1803	-0.0923	0.38742908799274967	0.9962269014109203	False
SAMD9L	CD44	6	173	0.2341	-0.1808	0.4149	0.44410824820820954	0.9962269014109203	False
ABI3BP	CD44	6	173	-0.6308	-0.1724	-0.4584	0.41174744293758325	0.9962269014109203	False
PIKFYVE	CHI3L1	9	170	-0.64	0.157	-0.7971	0.38537826768390104	0.9962269014109203	False
PPP1CA	CHI3L1	6	173	-0.5224	0.1726	-0.695	0.4394028425383583	0.9962269014109203	False
ARHGEF39	CHI3L1	5	174	-0.679	0.166	-0.845	0.40464420958681707	0.9962269014109203	False
HHIP	CD44	5	174	-3.4749	-0.1761	-3.2987	0.07586774342295241	0.9962269014109203	False
HHIP	CHI3L1	5	174	-0.679	0.166	-0.845	0.19703083127320498	0.9962269014109203	False
HCN4	CD44	5	174	-0.8866	-0.1803	-0.7063	0.4396497245792247	0.9962269014109203	False
PACS2	CD44	5	174	-1.0118	-0.1761	-0.8357	0.1250248840983886	0.9962269014109203	False
PACS2	CHI3L1	5	174	-0.679	0.166	-0.845	0.21955840323004236	0.9962269014109203	False
MAP3K9	CD44	5	174	0.1967	-0.2248	0.4215	0.07902290989566733	0.9962269014109203	False
PAMR1	CD44	5	174	1.5153	-0.2113	1.7267	0.23317635223981353	0.9962269014109203	False
NLGN2	CHI3L1	6	173	-2.383	0.1726	-2.5556	0.03754698821933724	0.9962269014109203	False
LRRC43	CHI3L1	7	172	1.1736	0.1452	1.0285	0.243972547536088	0.9962269014109203	False
UGT3A2	CHI3L1	5	174	1.3375	0.1452	1.1923	0.3666373999262974	0.9962269014109203	False
ANKRD30B	CHI3L1	10	169	-0.4155	0.1726	-0.5881	0.36743595100587967	0.9962269014109203	False
FAM65C	CD44	7	172	0.4663	-0.2113	0.6776	0.35415983736620593	0.9962269014109203	False
ZMYM5	CD44	5	174	-0.9665	-0.1803	-0.7862	0.1878775756660151	0.9962269014109203	False
SF3A1	CD44	5	174	0.916	-0.1904	1.1064	0.3012859177965267	0.9962269014109203	False
C5	CD44	5	174	-0.8866	-0.1761	-0.7105	0.2473423987412811	0.9962269014109203	False
TMPRSS6	CD44	5	174	-0.999	-0.1761	-0.8228	0.297206719109331	0.9962269014109203	False
TMPRSS6	CHI3L1	5	174	-0.679	0.1972	-0.8762	0.04502730677377912	0.9962269014109203	False
PRELP	CHI3L1	5	174	-1.0398	0.166	-1.2057	0.07743314765153651	0.9962269014109203	False
MYH15	CD44	8	171	-0.6683	-0.1798	-0.4885	0.1439699008052993	0.9962269014109203	False
INPP5D	CHI3L1	8	171	1.0479	0.1107	0.9373	0.41115843528446744	0.9962269014109203	False
EFNB1	CD44	5	174	0.4663	-0.1904	0.6567	0.22291174438389824	0.9962269014109203	False
PLIN4	CD44	11	168	0.6488	-0.2113	0.8601	0.3290567413911847	0.9962269014109203	False
FAM179A	CHI3L1	7	172	-0.2085	0.166	-0.3744	0.3817399128017028	0.9962269014109203	False
FAM73B	CD44	5	174	0.4663	-0.1904	0.6567	0.35747528346745955	0.9962269014109203	False
ANO3	CD44	7	172	0.4663	-0.1904	0.6567	0.35415983736620593	0.9962269014109203	False
ANO3	CHI3L1	7	172	1.408	0.1231	1.2848	0.03554769814985074	0.9962269014109203	False
TRPV6	CD44	6	173	-1.3083	-0.1798	-1.1285	0.23421193259827444	0.9962269014109203	False
OPRK1	CD44	5	174	-0.3462	-0.1803	-0.1659	0.4345508357200731	0.9962269014109203	False
UGT2B4	CD44	8	171	-0.5277	-0.1724	-0.3552	0.4271233704839405	0.9962269014109203	False
SHROOM4	CHI3L1	10	169	1.3632	0.1107	1.2525	0.2758413951129488	0.9962269014109203	False
RP11-830F9.6	CD44	8	171	0.2817	-0.1808	0.4625	0.43523427707661255	0.9962269014109203	False
RP11-830F9.6	CHI3L1	8	171	1.9491	0.0723	1.8768	0.08279026609173647	0.9962269014109203	False
MGARP	CD44	5	174	2.0688	-0.1904	2.2592	0.3053999160174202	0.9962269014109203	False
ALDH1L2	CD44	5	174	-0.8866	-0.1606	-0.726	0.02435896063053007	0.9962269014109203	False
PTPRJ	CD44	7	172	0.4128	-0.1904	0.6032	0.26906439017806677	0.9962269014109203	False
ZNF556	CD44	6	173	-1.3545	-0.1808	-1.1737	0.42545073759959007	0.9962269014109203	False
GRM7	CD44	5	174	1.1781	-0.2113	1.3894	0.10200195557738521	0.9962269014109203	False
GRM7	CHI3L1	5	174	2.5314	0.1231	2.4083	0.12729029422545637	0.9962269014109203	False
ADGB	CD44	6	173	-0.5209	-0.1724	-0.3484	0.2962872916294637	0.9962269014109203	False
RLF	CD44	6	173	0.4345	-0.1808	0.6154	0.402751636693665	0.9962269014109203	False
WBSCR17	CD44	5	174	-0.7464	-0.1643	-0.582	0.1878775756660151	0.9962269014109203	False
GP1BA	CHI3L1	8	171	1.6502	0.1107	1.5395	0.06623569478113665	0.9962269014109203	False
SGK223	CD44	6	173	-0.918	-0.1798	-0.7382	0.10585807417587925	0.9962269014109203	False
EDEM2	CD44	6	173	-2.2434	-0.1724	-2.0709	0.017062521292466618	0.9962269014109203	False
KCTD16	CD44	6	173	0.8119	-0.2	1.0119	0.20380954244184782	0.9962269014109203	False
C2orf44	CD44	5	174	-0.8866	-0.1761	-0.7105	0.19703083127320498	0.9962269014109203	False
C2orf44	CHI3L1	5	174	-0.679	0.1972	-0.8762	0.12958525203886292	0.9962269014109203	False
DGKA	CD44	5	174	0.4663	-0.1904	0.6567	0.4294844113191032	0.9962269014109203	False
FILIP1L	CHI3L1	9	170	-0.679	0.2719	-0.9509	0.10511601171749381	0.9962269014109203	False
KIAA0319	CD44	8	171	1.7459	-0.2227	1.9686	0.053314708472336006	0.9962269014109203	False
KIAA0319	CHI3L1	8	171	2.1145	0.1107	2.0038	0.08279026609173647	0.9962269014109203	False
WNK2	CD44	15	164	-0.9665	-0.1488	-0.8178	0.2030832856090259	0.9962269014109203	False
SF3A1	CHI3L1	5	174	1.408	0.0915	1.3165	0.05045763265926704	0.9962269014109203	False
ERBB2IP	CD44	6	173	1.0802	-0.1808	1.261	0.3679033645239788	0.9962269014109203	False
ERBB2IP	CHI3L1	6	173	2.5791	0.0723	2.5068	0.0076392430508099044	0.9962269014109203	False
RGS12	CD44	8	171	-0.8564	-0.1724	-0.684	0.1381832351781927	0.9962269014109203	False
MBD1	CHI3L1	6	173	-0.1902	0.1594	-0.3496	0.31910232672398836	0.9962269014109203	False
SACS	CD44	10	169	-0.5421	-0.1724	-0.3697	0.3044668624855409	0.9962269014109203	False
DVL3	CHI3L1	6	173	2.2447	0.1356	2.109	0.30756202118394527	0.9962269014109203	False
DCC	CD44	9	170	-0.309	-0.1803	-0.1287	0.4418846482680462	0.9962269014109203	False
TERT	CD44	7	172	-0.45	-0.1606	-0.2894	0.2531911540949494	0.9962269014109203	False
SLITRK3	CD44	8	171	-0.9117	-0.1488	-0.7629	0.038137133421983764	0.9962269014109203	False
SLITRK3	CHI3L1	8	171	1.1058	0.1107	0.9952	0.18481268888005176	0.9962269014109203	False
NLRP12	CD44	9	170	0.7327	-0.2248	0.9575	0.06698525423196514	0.9962269014109203	False
NLRP12	CHI3L1	9	170	0.485	0.1231	0.3619	0.12485048506719679	0.9962269014109203	False
SZT2	CHI3L1	19	160	0.8745	0.0915	0.783	0.19376799895783536	0.9962269014109203	False
CLSTN1	CD44	7	172	-0.8116	-0.1606	-0.651	0.07824252798893513	0.9962269014109203	False
TMPRSS9	CHI3L1	5	174	-0.679	0.166	-0.845	0.2583289608238302	0.9962269014109203	False
PLEKHG4	CD44	5	174	-0.8866	-0.1761	-0.7105	0.19703083127320498	0.9962269014109203	False
MAGI3	CHI3L1	6	173	1.9015	0.1356	1.7659	0.18153533847088985	0.9962269014109203	False
NUAK1	CHI3L1	7	172	2.6294	0.1452	2.4843	0.4105412165794226	0.9962269014109203	False
STRIP2	CD44	5	174	-0.45	-0.1761	-0.2739	0.38063646503943604	0.9962269014109203	False
GP1BA	CD44	8	171	1.0223	-0.2	1.2223	0.26199157556928654	0.9962269014109203	False
SLC35F3	CHI3L1	6	173	-0.8718	0.1594	-1.0312	0.2745353333724114	0.9962269014109203	False
SBNO2	CD44	7	172	-1.5738	-0.1606	-1.4132	0.042385348799330584	0.9962269014109203	False
SHC1	CD44	8	171	0.7783	-0.2227	1.001	0.2531427507973414	0.9962269014109203	False
SHC1	CHI3L1	8	171	1.2136	0.1107	1.1029	0.3436559357868425	0.9962269014109203	False
ATP8B2	CHI3L1	8	171	-0.6055	0.1726	-0.7781	0.3436559357868425	0.9962269014109203	False
DYRK2	CHI3L1	5	174	1.408	0.1231	1.2848	0.23317635223981353	0.9962269014109203	False
NUP98	CHI3L1	6	173	-0.8069	0.1726	-0.9795	0.21262857570307941	0.9962269014109203	False
RP1	CHI3L1	9	170	-0.679	0.166	-0.845	0.20383918699366244	0.9962269014109203	False
ZMYND10	CHI3L1	5	174	-1.0398	0.1972	-1.2369	0.023109537715428154	0.9962269014109203	False
VWA5B2	CD44	5	174	-0.8116	-0.1761	-0.6355	0.4447808678779317	0.9962269014109203	False
ACR	CHI3L1	5	174	2.5314	0.1452	2.3863	0.3137323428394351	0.9962269014109203	False
NOL6	CHI3L1	5	174	2.6294	0.1231	2.5063	0.06839823063176105	0.9962269014109203	False
SF3B1	CD44	5	174	-1.5738	-0.1761	-1.3976	0.1848925491512326	0.9962269014109203	False
SF3B1	CHI3L1	5	174	2.5314	0.1452	2.3863	0.4396497245792247	0.9962269014109203	False
ITGA2B	CD44	10	169	-1.0765	-0.1488	-0.9278	0.027266508459799495	0.9962269014109203	False
ITGA2B	CHI3L1	10	169	-0.4562	0.1726	-0.6288	0.25430511520550836	0.9962269014109203	False
MGAT5	CHI3L1	5	174	-1.0398	0.157	-1.1968	0.3439895536182597	0.9962269014109203	False
KIAA0100	CD44	7	172	-0.9617	-0.1606	-0.8011	0.04078136047046927	0.9962269014109203	False
KIAA0100	CHI3L1	7	172	-1.1446	0.157	-1.3016	0.4318477222202246	0.9962269014109203	False
RPAP1	CD44	7	172	0.1967	-0.1904	0.3871	0.35802431952361263	0.9962269014109203	False
RPAP1	CHI3L1	7	172	1.408	0.1231	1.2848	0.3352177756594765	0.9962269014109203	False
ANKRD33	CD44	6	173	-0.929	-0.1798	-0.7492	0.18422177086079103	0.9962269014109203	False
HIVEP1	CHI3L1	7	172	2.5314	0.1452	2.3863	0.38578012269852774	0.9962269014109203	False
AHNAK2	CD44	9	170	-1.5118	-0.1606	-1.3512	0.07633413675690139	0.9962269014109203	False
AHNAK2	CHI3L1	9	170	-0.679	0.166	-0.845	0.35369906545183394	0.9962269014109203	False
COL6A3	CD44	10	169	0.0451	-0.2	0.245	0.4088507819272247	0.9962269014109203	False
ATP8B2	CD44	8	171	-3.038	-0.1488	-2.8892	0.0007702381778616302	0.9962269014109203	False
GCKR	CD44	5	174	-0.8116	-0.1803	-0.6313	0.3901386914648556	0.9962269014109203	False
GCKR	CHI3L1	5	174	1.5527	0.1231	1.4296	0.3053999160174202	0.9962269014109203	False
RBFOX1	CD44	8	171	-1.1927	-0.1724	-1.0203	0.15196025432314061	0.9962269014109203	False
SULF1	CHI3L1	6	173	-0.9873	0.1594	-1.1467	0.33090760220673304	0.9962269014109203	False
CNGB1	CD44	8	171	-0.3978	-0.1724	-0.2253	0.4393215664501236	0.9962269014109203	False
ECT2L	CHI3L1	6	173	2.5804	0.1107	2.4698	0.024518427420910045	0.9962269014109203	False
SF3B2	CD44	5	174	2.4694	-0.1904	2.6598	0.24019059991723896	0.9962269014109203	False
SF3B2	CHI3L1	5	174	1.408	0.1231	1.2848	0.16490996770922178	0.9962269014109203	False
ACVR1	CD44	5	174	-1.5738	-0.1606	-1.4132	0.03820681095102887	0.9962269014109203	False
ARHGEF12	CD44	7	172	-3.4749	-0.1606	-3.3143	0.03150686491121915	0.9962269014109203	False
ARHGEF12	CHI3L1	7	172	-0.6262	0.1972	-0.8234	0.2531911540949494	0.9962269014109203	False
C2orf71	CHI3L1	6	173	-0.6915	0.1726	-0.8641	0.18422177086079103	0.9962269014109203	False
TYR	CD44	5	174	1.1179	-0.2113	1.3293	0.0963064466336522	0.9962269014109203	False
C3	CHI3L1	7	172	-0.679	0.166	-0.845	0.24702004721412457	0.9962269014109203	False
CHGB	CHI3L1	5	174	-0.679	0.166	-0.845	0.31795073689801917	0.9962269014109203	False
LRGUK	CHI3L1	5	174	1.408	0.1231	1.2848	0.23317635223981353	0.9962269014109203	False
HIVEP1	CD44	7	172	1.5153	-0.1904	1.7057	0.15726966673114023	0.9962269014109203	False
GPR83	CHI3L1	5	174	2.6294	0.0915	2.538	0.0055269772863335755	0.9962269014109203	False
GRIN3B	CD44	6	173	-1.8919	-0.1798	-1.7121	0.17887654792452554	0.9962269014109203	False
MGAT5	CD44	5	174	-1.97	-0.1761	-1.7938	0.06839823063176105	0.9962269014109203	False
ITGA7	CD44	6	173	-0.5595	-0.1798	-0.3797	0.41628736374475256	0.9962269014109203	False
ITGA7	CHI3L1	6	173	1.2136	0.1356	1.078	0.359478426974611	0.9962269014109203	False
SPTBN2	CHI3L1	11	168	-0.679	0.166	-0.845	0.11626761566476168	0.9962269014109203	False
NCSTN	CHI3L1	6	173	0.6721	0.1547	0.5174	0.359478426974611	0.9962269014109203	False
NCOR1	CD44	9	170	-0.45	-0.1606	-0.2894	0.19917998684819083	0.9962269014109203	False
PTPRM	CHI3L1	7	172	1.408	0.1452	1.2628	0.373734356891303	0.9962269014109203	False
LAMB4	CD44	8	171	-1.66	-0.1488	-1.5112	0.01186435961607927	0.9962269014109203	False
PIGT	CD44	6	173	-1.2302	-0.1724	-1.0578	0.158588916476539	0.9962269014109203	False
KCNH2	CD44	7	172	-0.8866	-0.1606	-0.726	0.063587467571797	0.9962269014109203	False
ZMYM3	CD44	6	173	1.2157	-0.2	1.4157	0.14908807484952544	0.9962269014109203	False
LTBP3	CHI3L1	5	174	2.6294	0.0915	2.538	0.008294692554354716	0.9962269014109203	False
TNFRSF8	CHI3L1	6	173	2.6897	0.1107	2.579	0.05449800043662434	0.9962269014109203	False
CDH11	CD44	6	173	-2.2434	-0.1724	-2.0709	0.058974404521641564	0.9962269014109203	False
PRPF40B	CD44	6	173	-0.6308	-0.1798	-0.451	0.20092676979393406	0.9962269014109203	False
APBA1	CD44	6	173	-0.3978	-0.1798	-0.2179	0.4394028425383583	0.9962269014109203	False
KRT76	CHI3L1	8	171	0.5997	0.1547	0.4451	0.41115843528446744	0.9962269014109203	False
MYH13	CD44	13	166	-0.1724	-0.2113	0.0389	0.3935634533603871	0.9962269014109203	False
MYH13	CHI3L1	13	166	1.4486	0.0915	1.3571	0.09487626516111372	0.9962269014109203	False
OFD1	CD44	6	173	-2.0935	-0.1724	-1.9211	0.07277107833420947	0.9962269014109203	False
NPHP4	CD44	5	174	-0.8866	-0.1761	-0.7105	0.10395473225367824	0.9962269014109203	False
PALM3	CD44	5	174	-0.8116	-0.1606	-0.651	0.21955840323004236	0.9962269014109203	False
SPTBN2	CD44	11	168	-0.5687	-0.1606	-0.4081	0.23790951525491766	0.9962269014109203	False
TBC1D15	CD44	6	173	-1.3908	-0.1724	-1.2183	0.14000519654118362	0.9962269014109203	False
TBC1D15	CHI3L1	6	173	1.9002	0.1356	1.7646	0.30756202118394527	0.9962269014109203	False
SMURF2	CD44	5	174	-0.8116	-0.1761	-0.6355	0.1848925491512326	0.9962269014109203	False
SMURF2	CHI3L1	5	174	1.5527	0.1231	1.4296	0.30954874278774286	0.9962269014109203	False
COL11A1	CHI3L1	12	167	-0.586	0.1726	-0.7586	0.38222049070928454	0.9962269014109203	False
RNF157	CHI3L1	5	174	2.6294	0.0915	2.538	0.02435896063053007	0.9962269014109203	False
FGD6	CD44	5	174	-0.8116	-0.1761	-0.6355	0.33956320934050116	0.9962269014109203	False
CDK13	CD44	11	168	-0.45	-0.1606	-0.2894	0.28637422211216723	0.9962269014109203	False
CDK13	CHI3L1	11	168	1.3995	0.1452	1.2543	0.2500628126587986	0.9962269014109203	False
CEP68	CD44	5	174	0.916	-0.2113	1.1274	0.3439895536182597	0.9962269014109203	False
CEP68	CHI3L1	5	174	1.7477	0.0915	1.6563	0.03641626122824171	0.9962269014109203	False
RP11-1220K2.2	CD44	17	162	0.8239	-0.237	1.0609	0.11595833871024601	0.9962269014109203	False
RP11-1220K2.2	CHI3L1	17	162	0.8745	0.0915	0.783	0.17683555588278854	0.9962269014109203	False
FAM193B	CD44	5	174	-3.4749	-0.1761	-3.2987	0.02500358655163964	0.9962269014109203	False
PIP4K2C	CHI3L1	6	173	-0.6097	0.1594	-0.7691	0.31910232672398836	0.9962269014109203	False
REV3L	CD44	11	168	0.8239	-0.1904	1.0143	0.10044309224157015	0.9962269014109203	False
UNC45A	CD44	7	172	-0.8866	-0.1761	-0.7105	0.09385841732071971	0.9962269014109203	False
NPC1	CD44	5	174	0.8239	-0.1904	1.0143	0.34845037411156776	0.9962269014109203	False
HECTD1	CHI3L1	8	171	1.2908	0.1107	1.1801	0.11343422557987533	0.9962269014109203	False
TOPAZ1	CD44	8	171	-0.5542	-0.1798	-0.3744	0.39553983513059743	0.9962269014109203	False
