gene	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
POLD1	CHI3L1	5	174	2.5314	0.1452	2.3863	0.3439895536182597	0.9962269014109203	False
TRPM5	CD44	6	173	2.1282	-0.2227	2.3509	0.08892914593171262	0.9962269014109203	False
KANK2	CHI3L1	5	174	-1.0398	0.166	-1.2057	0.07280908741753127	0.9962269014109203	False
TARBP1	CD44	7	172	-1.3116	-0.1803	-1.1313	0.3278191049938769	0.9962269014109203	False
TARBP1	CHI3L1	7	172	-0.2085	0.166	-0.3744	0.2500929037244843	0.9962269014109203	False
PPP1R9A	CD44	5	174	0.8239	-0.2113	1.0353	0.33517143799739624	0.9962269014109203	False
TEX10	CD44	6	173	1.4531	-0.2269	1.68	0.003917160883859139	0.9962269014109203	False
GREB1L	CD44	11	168	0.8239	-0.2248	1.0487	0.32020615247526074	0.9962269014109203	False
GREB1L	CHI3L1	11	168	1.4961	0.1231	1.373	0.36602690590666376	0.9962269014109203	False
OSBPL10	CD44	5	174	-0.2523	-0.1803	-0.072	0.4396497245792247	0.9962269014109203	False
ZBTB44	CHI3L1	5	174	-0.7039	0.166	-0.8699	0.4345508357200731	0.9962269014109203	False
BIRC6	CD44	16	163	1.1534	-0.2227	1.3761	0.031853840970085215	0.9962269014109203	False
LMBRD2	CHI3L1	6	173	1.4803	0.1356	1.3447	0.2606242681124236	0.9962269014109203	False
MTOR	CD44	15	164	-0.309	-0.1606	-0.1484	0.2823764918738203	0.9962269014109203	False
DDX4	CD44	5	174	-0.5204	-0.1803	-0.34	0.24374926605744052	0.9962269014109203	False
DDX4	CHI3L1	5	174	-3.0977	0.166	-3.2637	0.01572460716257747	0.9962269014109203	False
AHCTF1	CD44	7	172	0.6488	-0.2018	0.8505	0.3062365808215547	0.9962269014109203	False
AHCTF1	CHI3L1	7	172	-1.0988	0.1972	-1.296	0.014035387528363691	0.9962269014109203	False
MFI2	CD44	6	173	2.5049	-0.2	2.7048	0.09881918166073599	0.9962269014109203	False
EGFR	CHI3L1	43	136	0.7654	0.1231	0.6423	0.33846513610584916	0.9962269014109203	False
DSG2	CD44	5	174	1.3908	-0.1904	1.5812	0.4294844113191032	0.9962269014109203	False
DSG2	CHI3L1	5	174	1.7564	0.1452	1.6113	0.3901386914648556	0.9962269014109203	False
IGFN1	CD44	26	153	0.6813	-0.2	0.8813	0.13037038150499136	0.9962269014109203	False
IGFN1	CHI3L1	26	153	1.1412	0.0204	1.1208	0.13037038150499136	0.9962269014109203	False
PRKCD	CD44	5	174	1.3908	-0.1904	1.5812	0.1732796576386891	0.9962269014109203	False
PRKCD	CHI3L1	5	174	2.5314	0.0915	2.44	0.011021137780605778	0.9962269014109203	False
FAM63B	CD44	5	174	1.3908	-0.2248	1.6157	0.017606944696969575	0.9962269014109203	False
MMEL1	CHI3L1	5	174	-0.2085	0.157	-0.3655	0.4294844113191032	0.9962269014109203	False
WNK1	CD44	5	174	0.8265	-0.1904	1.0169	0.3853706814246388	0.9962269014109203	False
WNK1	CHI3L1	5	174	-1.0398	0.166	-1.2057	0.08734437844317422	0.9962269014109203	False
PTPRF	CD44	10	169	-0.9412	-0.1798	-0.7614	0.29858947825428916	0.9962269014109203	False
PTPRF	CHI3L1	10	169	-0.4562	0.1726	-0.6288	0.1699568938480548	0.9962269014109203	False
RAPGEF5	CHI3L1	6	173	-3.8276	0.1594	-3.987	0.19807233341366753	0.9962269014109203	False
ADAMTSL1	CD44	5	174	-0.7275	-0.1803	-0.5472	0.3439895536182597	0.9962269014109203	False
LOXL1	CD44	5	174	-1.4524	-0.1803	-1.2721	0.24374926605744052	0.9962269014109203	False
