pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-381771	Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)	CD44	14	165	-0.6308	-0.1488	-0.4821	0.1277573539322854	0.9958970300880995	False
R-HSA-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	CHI3L1	10	169	-0.9242	0.2217	-1.1459	0.03456056045042946	0.9958970300880995	False
R-HSA-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	CD44	10	169	-1.4967	-0.1488	-1.348	0.010112333921333462	0.9958970300880995	False
R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	CHI3L1	47	132	-0.0282	0.166	-0.1942	0.771732572467328	0.9958970300880995	False
R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	CD44	47	132	-0.2	-0.1803	-0.0197	0.29343221154647203	0.9958970300880995	False
R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	CHI3L1	24	155	-0.0837	0.1594	-0.2431	0.5295778070588355	0.9958970300880995	False
R-HSA-5693571	Nonhomologous End-Joining (NHEJ)	CD44	24	155	-0.0187	-0.2	0.1813	0.37514123812526123	0.9958970300880995	False
R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	CHI3L1	26	153	0.3513	0.1547	0.1966	0.5651744675213715	0.9958970300880995	False
R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	CD44	26	153	0.2482	-0.2	0.4482	0.377666243347502	0.9958970300880995	False
R-HSA-69473	G2/M DNA damage checkpoint	CHI3L1	14	165	1.3241	0.1356	1.1885	0.3138008601890664	0.9958970300880995	False
R-HSA-9648895	Response of EIF2AK1 (HRI) to heme deficiency	CD44	5	174	0.8239	-0.1904	1.0143	0.5033005380497586	0.9958970300880995	False
R-HSA-5693607	Processing of DNA double-strand break ends	CHI3L1	22	157	0.3513	0.1547	0.1966	0.602639276564867	0.9958970300880995	False
R-HSA-5693607	Processing of DNA double-strand break ends	CD44	22	157	0.2482	-0.2	0.4482	0.5255358539318955	0.9958970300880995	False
R-HSA-8866376	Reelin signalling pathway	CHI3L1	18	161	0.5869	0.1356	0.4513	0.528229004547411	0.9958970300880995	False
R-HSA-8866376	Reelin signalling pathway	CD44	18	161	0.0635	-0.2	0.2635	0.7643541642367151	0.9958970300880995	False
R-HSA-6783783	Interleukin-10 signaling	CHI3L1	7	172	0.9416	0.1452	0.7965	0.7624174877429625	0.9958970300880995	False
R-HSA-6783783	Interleukin-10 signaling	CD44	7	172	-0.45	-0.1761	-0.2739	0.9274910846677341	0.9958970300880995	False
R-HSA-72163	mRNA Splicing - Major Pathway	CHI3L1	59	120	-0.0531	0.3907	-0.4439	0.5045060667675693	0.9958970300880995	False
R-HSA-72163	mRNA Splicing - Major Pathway	CD44	59	120	-0.3111	-0.1273	-0.1838	0.361293473982783	0.9958970300880995	False
R-HSA-3214841	PKMTs methylate histone lysines	CHI3L1	44	135	0.8984	-0.0199	0.9183	0.12047488392429512	0.9958970300880995	False
R-HSA-3214841	PKMTs methylate histone lysines	CD44	44	135	-0.159	-0.2227	0.0637	0.1511364069300826	0.9958970300880995	False
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	CHI3L1	21	158	-0.64	0.157	-0.7971	0.9410417769060718	0.9958970300880995	False
R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins	CD44	21	158	-0.45	-0.1434	-0.3066	0.12253828912720452	0.9958970300880995	False
R-HSA-2168880	Scavenging of heme from plasma	CHI3L1	16	163	-0.4174	0.1726	-0.59	0.7635460329127093	0.9958970300880995	False
R-HSA-2168880	Scavenging of heme from plasma	CD44	16	163	0.0954	-0.1808	0.2762	0.4806226503580303	0.9958970300880995	False
R-HSA-373752	Netrin-1 signaling	CHI3L1	28	151	-0.1902	0.1594	-0.3496	0.8163076970947031	0.9958970300880995	False
R-HSA-373752	Netrin-1 signaling	CD44	28	151	-0.0187	-0.2	0.1813	0.609870569699448	0.9958970300880995	False
R-HSA-71240	Tryptophan catabolism	CHI3L1	5	174	-0.2085	0.157	-0.3655	0.9222744760232164	0.9958970300880995	False
R-HSA-9943411	CHD1 and CHD2 subfamily	CD44	28	151	-0.2908	-0.1798	-0.111	0.7432158693483515	0.9958970300880995	False
R-HSA-9617324	Negative regulation of NMDA receptor-mediated neuronal transmission	CHI3L1	29	150	0.8745	0.0915	0.783	0.8494126697105624	0.9958970300880995	False
R-HSA-9617324	Negative regulation of NMDA receptor-mediated neuronal transmission	CD44	29	150	-0.309	-0.1488	-0.1602	0.8158152289160165	0.9958970300880995	False
R-HSA-9620244	Long-term potentiation	CHI3L1	30	149	0.6583	0.1356	0.5227	0.8423506226414648	0.9958970300880995	False
R-HSA-9620244	Long-term potentiation	CD44	30	149	-0.3006	-0.1488	-0.1518	0.927687614257537	0.9958970300880995	False
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	CHI3L1	32	147	0.6583	0.1356	0.5227	0.8639957117136053	0.9958970300880995	False
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	CD44	32	147	-0.3276	-0.1488	-0.1788	0.9324968224741828	0.9958970300880995	False
R-HSA-6794361	Neurexins and neuroligins	CHI3L1	55	124	-0.0199	0.1972	-0.217	0.6004918958658993	0.9958970300880995	False
R-HSA-6794361	Neurexins and neuroligins	CD44	55	124	-0.3557	-0.1152	-0.2406	0.6424405183015974	0.9958970300880995	False
R-HSA-8849932	Synaptic adhesion-like molecules	CHI3L1	31	148	0.485	0.1452	0.3399	0.5457188088401649	0.9958970300880995	False
R-HSA-8849932	Synaptic adhesion-like molecules	CD44	31	148	-0.309	-0.1434	-0.1656	0.7387250809308439	0.9958970300880995	False
R-HSA-438066	Unblocking of NMDA receptors, glutamate binding and activation	CHI3L1	30	149	0.6583	0.1356	0.5227	0.8423506226414648	0.9958970300880995	False
R-HSA-438066	Unblocking of NMDA receptors, glutamate binding and activation	CD44	30	149	-0.3006	-0.1488	-0.1518	0.927687614257537	0.9958970300880995	False
R-HSA-9954709	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide	CHI3L1	45	134	-0.1476	0.166	-0.3135	0.84317075646218	0.9958970300880995	False
R-HSA-9954709	Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide	CD44	45	134	-0.2727	-0.1643	-0.1083	0.7034139481782524	0.9958970300880995	False
R-HSA-201451	Signaling by BMP	CHI3L1	7	172	0.8745	0.1452	0.7294	0.8986159069885826	0.9958970300880995	False
R-HSA-201451	Signaling by BMP	CD44	7	172	2.4694	-0.1904	2.6598	0.07184741829012684	0.9958970300880995	False
R-HSA-71240	Tryptophan catabolism	CD44	5	174	-1.97	-0.1761	-1.7938	0.14902868250631757	0.9958970300880995	False
R-HSA-70171	Glycolysis	CD44	12	167	-0.2363	-0.1798	-0.0565	0.5543910266045595	0.9958970300880995	False
R-HSA-70263	Gluconeogenesis	CHI3L1	9	170	1.408	0.0915	1.3165	0.060383923053660755	0.9958970300880995	False
R-HSA-9668328	Sealing of the nuclear envelope (NE) by ESCRT-III	CHI3L1	8	171	2.2572	0.1356	2.1216	0.16671520595418107	0.9958970300880995	False
R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	CHI3L1	15	164	-0.2085	0.157	-0.3655	0.92741205113943	0.9958970300880995	False
R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	CD44	15	164	-0.45	-0.1606	-0.2894	0.47733795948428825	0.9958970300880995	False
R-HSA-380994	ATF4 activates genes in response to endoplasmic reticulum  stress	CHI3L1	16	163	-0.4438	0.1594	-0.6031	0.771268796232945	0.9958970300880995	False
R-HSA-380994	ATF4 activates genes in response to endoplasmic reticulum  stress	CD44	16	163	-0.3795	-0.1724	-0.2071	0.7215090753694735	0.9958970300880995	False
R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	CHI3L1	26	153	1.0241	0.1356	0.8884	0.5596507998340576	0.9958970300880995	False
R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	CD44	26	153	-0.2107	-0.1808	-0.0299	0.39562848076034085	0.9958970300880995	False
R-HSA-9614657	FOXO-mediated transcription of cell death genes	CHI3L1	20	159	1.0241	0.1356	0.8884	0.4190111532066694	0.9958970300880995	False
R-HSA-9614657	FOXO-mediated transcription of cell death genes	CD44	20	159	0.87	-0.2227	1.0927	0.10752717004870427	0.9958970300880995	False
R-HSA-9668328	Sealing of the nuclear envelope (NE) by ESCRT-III	CD44	8	171	1.1696	-0.2	1.3696	0.18954722859675682	0.9958970300880995	False
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	CD44	46	133	-0.2147	-0.1808	-0.0339	0.7777608914150268	0.9958970300880995	False
R-HSA-192823	Viral mRNA Translation	CHI3L1	36	143	0.0369	0.1594	-0.1224	0.709553062014697	0.9958970300880995	False
R-HSA-192823	Viral mRNA Translation	CD44	36	143	-0.3101	-0.1488	-0.1613	0.6935455390546246	0.9958970300880995	False
R-HSA-72764	Eukaryotic Translation Termination	CHI3L1	37	142	-0.0617	0.166	-0.2277	0.8072264331658148	0.9958970300880995	False
R-HSA-72764	Eukaryotic Translation Termination	CD44	37	142	-0.309	-0.1606	-0.1484	0.723015467399997	0.9958970300880995	False
R-HSA-2408557	Selenocysteine synthesis	CHI3L1	36	143	0.0369	0.1594	-0.1224	0.709553062014697	0.9958970300880995	False
R-HSA-2408557	Selenocysteine synthesis	CD44	36	143	-0.3101	-0.1488	-0.1613	0.6935455390546246	0.9958970300880995	False
R-HSA-156902	Peptide chain elongation	CHI3L1	39	140	0.1356	0.157	-0.0214	0.6635346947205507	0.9958970300880995	False
R-HSA-156902	Peptide chain elongation	CD44	39	140	-0.3111	-0.1488	-0.1624	0.4410096671322068	0.9958970300880995	False
R-HSA-6790901	rRNA modification in the nucleus and cytosol	CD44	28	151	-0.2908	-0.1798	-0.111	0.8691080435242935	0.9958970300880995	False
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	CD44	46	133	-0.2147	-0.1808	-0.0339	0.7777608914150268	0.9958970300880995	False
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	CHI3L1	39	140	-0.0617	0.166	-0.2277	0.9040452908992146	0.9958970300880995	False
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	CD44	39	140	-0.3111	-0.1488	-0.1624	0.4348188435037673	0.9958970300880995	False
R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA	CHI3L1	42	137	-0.0683	0.1726	-0.2409	0.8715558757688204	0.9958970300880995	False
R-HSA-9954716	ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA	CD44	42	137	-0.3101	-0.1488	-0.1613	0.8661976543054121	0.9958970300880995	False
R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA	CHI3L1	37	142	-0.0617	0.166	-0.2277	0.8684411469364215	0.9958970300880995	False
R-HSA-9954714	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA	CD44	37	142	-0.3111	-0.1488	-0.1624	0.594353493136462	0.9958970300880995	False
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	CHI3L1	55	124	-0.0199	0.1972	-0.217	0.8671582419617043	0.9958970300880995	False
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	CD44	55	124	-0.1381	-0.2113	0.0732	0.2884827572125386	0.9958970300880995	False
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	CHI3L1	36	143	0.0369	0.1594	-0.1224	0.709553062014697	0.9958970300880995	False
R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency	CD44	36	143	-0.3101	-0.1488	-0.1613	0.6935455390546246	0.9958970300880995	False
R-HSA-209968	Thyroxine biosynthesis	CHI3L1	10	169	-0.6055	0.1726	-0.7781	0.32563880618335705	0.9958970300880995	False
R-HSA-209968	Thyroxine biosynthesis	CD44	10	169	-0.9312	-0.1724	-0.7588	0.26492247650843115	0.9958970300880995	False
R-HSA-163359	Glucagon signaling in metabolic regulation	CHI3L1	20	159	1.4624	0.0723	1.3902	0.09788499059997297	0.9958970300880995	False
R-HSA-163359	Glucagon signaling in metabolic regulation	CD44	20	159	-0.2908	-0.1798	-0.111	0.6454028947945314	0.9958970300880995	False
R-HSA-164378	PKA activation in glucagon signalling	CHI3L1	24	155	1.4624	0.0723	1.3902	0.09407459955889193	0.9958970300880995	False
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	CHI3L1	47	132	-0.1476	0.3907	-0.5383	0.7467784871424232	0.9958970300880995	False
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	CHI3L1	25	154	1.5169	0.0463	1.4706	0.06258050947180249	0.9958970300880995	False
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	CD44	25	154	-0.2727	-0.1803	-0.0923	0.8628935688997994	0.9958970300880995	False
R-HSA-163615	PKA activation	CHI3L1	21	158	0.8745	0.1452	0.7294	0.8948003987231148	0.9958970300880995	False
R-HSA-163615	PKA activation	CD44	21	158	-0.3462	-0.1606	-0.1856	0.751992448713644	0.9958970300880995	False
R-HSA-5610787	Hedgehog 'off' state	CHI3L1	26	153	1.2908	0.1107	1.1801	0.21406872493676965	0.9958970300880995	False
R-HSA-5610787	Hedgehog 'off' state	CD44	26	153	-0.2908	-0.1798	-0.111	0.9461462641734192	0.9958970300880995	False
R-HSA-9856530	High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	CHI3L1	35	144	1.2402	0.0463	1.1938	0.057870559602292086	0.9958970300880995	False
R-HSA-9856530	High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	CD44	35	144	-0.1724	-0.1904	0.018	0.5741766128074997	0.9958970300880995	False
R-HSA-418555	G alpha (s) signalling events	CHI3L1	22	157	1.4624	0.0723	1.3902	0.10451821540534767	0.9958970300880995	False
R-HSA-418555	G alpha (s) signalling events	CD44	22	157	-0.1419	-0.1808	0.0389	0.8795263584927635	0.9958970300880995	False
R-HSA-381753	Olfactory Signaling Pathway	CHI3L1	7	172	0.8745	0.1452	0.7294	0.8584134654368205	0.9958970300880995	False
R-HSA-381753	Olfactory Signaling Pathway	CD44	7	172	-0.4389	-0.1803	-0.2586	0.6966165001684876	0.9958970300880995	False
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	CHI3L1	24	155	1.4624	0.0723	1.3902	0.09407459955889193	0.9958970300880995	False
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	CD44	47	132	-0.309	-0.1488	-0.1602	0.6688051948441942	0.9958970300880995	False
R-HSA-9664323	FCGR3A-mediated IL10 synthesis	CHI3L1	26	153	1.2908	0.1107	1.1801	0.27708441580501053	0.9958970300880995	False
R-HSA-9664323	FCGR3A-mediated IL10 synthesis	CD44	26	153	-0.3276	-0.1724	-0.1552	0.8075572834684694	0.9958970300880995	False
R-HSA-418597	G alpha (z) signalling events	CHI3L1	24	155	1.2908	0.1107	1.1801	0.27567595712992676	0.9958970300880995	False
R-HSA-418597	G alpha (z) signalling events	CD44	24	155	-0.1419	-0.1808	0.0389	0.8175347454352337	0.9958970300880995	False
R-HSA-170660	Adenylate cyclase activating pathway	CHI3L1	13	166	1.408	0.0915	1.3165	0.2699018218563346	0.9958970300880995	False
R-HSA-170660	Adenylate cyclase activating pathway	CD44	13	166	-0.309	-0.1761	-0.1329	0.5137045764233856	0.9958970300880995	False
R-HSA-9634597	GPER1 signaling	CHI3L1	25	154	1.5169	0.0463	1.4706	0.06258050947180249	0.9958970300880995	False
R-HSA-9634597	GPER1 signaling	CD44	25	154	-0.2727	-0.1803	-0.0923	0.8628935688997994	0.9958970300880995	False
R-HSA-170670	Adenylate cyclase inhibitory pathway	CHI3L1	15	164	1.408	0.0915	1.3165	0.2823764918738203	0.9958970300880995	False
R-HSA-170670	Adenylate cyclase inhibitory pathway	CD44	15	164	-0.2727	-0.1803	-0.0923	0.92741205113943	0.9958970300880995	False
R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	CHI3L1	28	151	1.0241	0.1356	0.8884	0.6723690727187304	0.9958970300880995	False
R-HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	CD44	28	151	-0.2908	-0.1798	-0.111	0.9414390389548833	0.9958970300880995	False
R-HSA-354192	Integrin signaling	CHI3L1	13	166	0.8745	0.1452	0.7294	0.5538902469902929	0.9958970300880995	False
R-HSA-354192	Integrin signaling	CD44	13	166	-0.008	-0.1904	0.1824	0.6425733782684228	0.9958970300880995	False
R-HSA-388479	Vasopressin-like receptors	CHI3L1	7	172	0.3844	0.1231	0.2612	0.38984520363635927	0.9958970300880995	False
R-HSA-392517	Rap1 signalling	CD44	6	173	-0.5978	-0.1798	-0.418	0.823743970729365	0.9958970300880995	False
R-HSA-72165	mRNA Splicing - Minor Pathway	CHI3L1	28	151	0.7624	0.1107	0.6517	0.49586762717902666	0.9958970300880995	False
R-HSA-388479	Vasopressin-like receptors	CD44	7	172	-0.1165	-0.1904	0.0739	0.8756060897533017	0.9958970300880995	False
R-HSA-9918481	Dengue Virus-Host Interactions	CHI3L1	57	122	-0.0199	0.2785	-0.2984	0.7113804536590106	0.9958970300880995	False
R-HSA-9918481	Dengue Virus-Host Interactions	CD44	57	122	-0.4389	-0.1273	-0.3116	0.18768534078087507	0.9958970300880995	False
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	CHI3L1	18	161	1.0241	0.1356	0.8884	0.629786863547155	0.9958970300880995	False
R-HSA-5250924	B-WICH complex positively regulates rRNA expression	CD44	18	161	-0.2908	-0.1798	-0.111	0.8197833465915144	0.9958970300880995	False
R-HSA-2672351	Stimuli-sensing channels	CHI3L1	28	151	-0.8194	0.3844	-1.2037	0.10225516244893083	0.9958970300880995	False
R-HSA-2672351	Stimuli-sensing channels	CD44	28	151	-0.5093	-0.1798	-0.3295	0.5474480964883384	0.9958970300880995	False
R-HSA-447041	CHL1 interactions	CHI3L1	8	171	-0.6915	0.2217	-0.9132	0.06623569478113665	0.9958970300880995	False
R-HSA-447041	CHL1 interactions	CD44	8	171	-0.5892	-0.1724	-0.4167	0.16454634918500088	0.9958970300880995	False
R-HSA-9013149	RAC1 GTPase cycle	CHI3L1	41	138	0.8745	0.1231	0.7514	0.2276023833191977	0.9958970300880995	False
R-HSA-9013149	RAC1 GTPase cycle	CD44	41	138	0.1967	-0.237	0.4337	0.1778853796996155	0.9958970300880995	False
R-HSA-9013148	CDC42 GTPase cycle	CHI3L1	39	140	-0.2085	0.157	-0.3655	0.8380287849348268	0.9958970300880995	False
R-HSA-9013148	CDC42 GTPase cycle	CD44	39	140	-0.1488	-0.2018	0.053	0.7019985982621675	0.9958970300880995	False
R-HSA-9010642	ROBO receptors bind AKAP5	CHI3L1	5	174	-0.2085	0.166	-0.3744	0.38063646503943604	0.9958970300880995	False
R-HSA-9010642	ROBO receptors bind AKAP5	CD44	5	174	-0.8866	-0.1761	-0.7105	0.1732796576386891	0.9958970300880995	False
R-HSA-5607763	CLEC7A (Dectin-1) induces NFAT activation	CHI3L1	14	165	0.5016	0.1547	0.3469	0.8277624465534602	0.9958970300880995	False
R-HSA-428542	Regulation of commissural axon pathfinding by SLIT and ROBO	CD44	13	166	-0.7464	-0.1643	-0.582	0.2796721327681483	0.9958970300880995	False
R-HSA-2470946	Cohesin Loading onto Chromatin	CHI3L1	16	163	-0.7224	0.1726	-0.895	0.10406038259982779	0.9958970300880995	False
R-HSA-2470946	Cohesin Loading onto Chromatin	CD44	16	163	-0.2908	-0.1798	-0.111	0.9294962302593185	0.9958970300880995	False
R-HSA-9833110	RSV-host interactions	CHI3L1	28	151	-0.287	0.1594	-0.4464	0.8659834983486506	0.9958970300880995	False
R-HSA-9833110	RSV-host interactions	CD44	28	151	-0.2824	-0.1798	-0.1026	0.9351214139365523	0.9958970300880995	False
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	CHI3L1	30	149	-0.6618	0.2217	-0.8835	0.39446493575083874	0.9958970300880995	False
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	CD44	30	149	-0.2225	-0.1808	-0.0417	0.4809371506330673	0.9958970300880995	False
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	CHI3L1	30	149	-0.6618	0.2217	-0.8835	0.39446493575083874	0.9958970300880995	False
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	CD44	30	149	-0.2225	-0.1808	-0.0417	0.4809371506330673	0.9958970300880995	False
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	CHI3L1	9	170	-0.679	0.166	-0.845	0.3640709652228873	0.9958970300880995	False
R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase	CD44	9	170	-0.309	-0.1761	-0.1329	0.6043346311161844	0.9958970300880995	False
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	CHI3L1	30	149	-0.6618	0.2217	-0.8835	0.39446493575083874	0.9958970300880995	False
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	CD44	30	149	-0.2225	-0.1808	-0.0417	0.4809371506330673	0.9958970300880995	False
R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	CHI3L1	17	162	-0.679	0.1972	-0.8762	0.3096307784705492	0.9958970300880995	False
R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	CD44	17	162	-0.2727	-0.1803	-0.0923	0.7323917209685287	0.9958970300880995	False
R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	CHI3L1	17	162	-0.679	0.1972	-0.8762	0.3096307784705492	0.9958970300880995	False
R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	CD44	17	162	-0.2727	-0.1803	-0.0923	0.7323917209685287	0.9958970300880995	False
R-HSA-176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	CHI3L1	9	170	-0.679	0.166	-0.845	0.3640709652228873	0.9958970300880995	False
R-HSA-176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	CD44	9	170	-0.309	-0.1761	-0.1329	0.6043346311161844	0.9958970300880995	False
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	CHI3L1	30	149	-0.6618	0.2217	-0.8835	0.39446493575083874	0.9958970300880995	False
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	CD44	30	149	-0.2225	-0.1808	-0.0417	0.4809371506330673	0.9958970300880995	False
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	CHI3L1	9	170	-0.679	0.166	-0.845	0.3640709652228873	0.9958970300880995	False
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	CD44	9	170	-0.309	-0.1761	-0.1329	0.6043346311161844	0.9958970300880995	False
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	CHI3L1	30	149	-0.6618	0.2217	-0.8835	0.39446493575083874	0.9958970300880995	False
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	CD44	30	149	-0.2225	-0.1808	-0.0417	0.4809371506330673	0.9958970300880995	False
R-HSA-176412	Phosphorylation of the APC/C	CHI3L1	9	170	-0.679	0.166	-0.845	0.3640709652228873	0.9958970300880995	False
R-HSA-176412	Phosphorylation of the APC/C	CD44	9	170	-0.309	-0.1761	-0.1329	0.6043346311161844	0.9958970300880995	False
R-HSA-68867	Assembly of the pre-replicative complex	CHI3L1	33	146	-0.3656	0.166	-0.5316	0.7561014663756033	0.9958970300880995	False
R-HSA-68867	Assembly of the pre-replicative complex	CD44	33	146	-0.1724	-0.1904	0.018	0.46481395330553077	0.9958970300880995	False
R-HSA-9687136	Aberrant regulation of mitotic exit in cancer due to RB1 defects	CHI3L1	9	170	-0.679	0.166	-0.845	0.3640709652228873	0.9958970300880995	False
R-HSA-9687136	Aberrant regulation of mitotic exit in cancer due to RB1 defects	CD44	9	170	-0.309	-0.1761	-0.1329	0.6043346311161844	0.9958970300880995	False
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	CHI3L1	21	158	-0.679	0.303	-0.9821	0.1722818713755231	0.9958970300880995	False
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	CD44	21	158	-0.2727	-0.1606	-0.112	0.8629858080459631	0.9958970300880995	False
R-HSA-8853884	Transcriptional Regulation by VENTX	CHI3L1	22	157	-0.5223	0.1726	-0.6949	0.5664221269727008	0.9958970300880995	False
R-HSA-8853884	Transcriptional Regulation by VENTX	CD44	22	157	-0.2908	-0.1798	-0.111	0.9422120897880103	0.9958970300880995	False
R-HSA-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	CHI3L1	9	170	-0.679	0.166	-0.845	0.3640709652228873	0.9958970300880995	False
R-HSA-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	CD44	9	170	-0.309	-0.1761	-0.1329	0.6043346311161844	0.9958970300880995	False
R-HSA-2467813	Separation of Sister Chromatids	CHI3L1	43	136	-0.2085	0.2785	-0.4869	0.7625106028759305	0.9958970300880995	False
R-HSA-2467813	Separation of Sister Chromatids	CD44	43	136	-0.1724	-0.1904	0.018	0.7141138488726091	0.9958970300880995	False
R-HSA-9696264	RND3 GTPase cycle	CHI3L1	30	149	1.0651	0.0723	0.9929	0.2735834071860561	0.9958970300880995	False
R-HSA-9696264	RND3 GTPase cycle	CD44	30	149	0.3204	-0.2	0.5204	0.2735834071860561	0.9958970300880995	False
R-HSA-446107	Type I hemidesmosome assembly	CHI3L1	19	160	1.1736	0.0463	1.1273	0.24835997854300185	0.9958970300880995	False
R-HSA-446107	Type I hemidesmosome assembly	CD44	19	160	0.8239	-0.1904	1.0143	0.31065235648177136	0.9958970300880995	False
R-HSA-9013420	RHOU GTPase cycle	CHI3L1	28	151	0.9081	0.1356	0.7725	0.8163076970947031	0.9958970300880995	False
R-HSA-9013420	RHOU GTPase cycle	CD44	28	151	-0.3795	-0.1488	-0.2307	0.8722346339678176	0.9958970300880995	False
R-HSA-9696270	RND2 GTPase cycle	CHI3L1	32	147	1.0651	0.0204	1.0447	0.19989462591184481	0.9958970300880995	False
R-HSA-9696270	RND2 GTPase cycle	CD44	32	147	-0.2908	-0.1798	-0.111	0.9384846210852873	0.9958970300880995	False
R-HSA-9696273	RND1 GTPase cycle	CHI3L1	28	151	1.0651	0.0723	0.9929	0.222068629124332	0.9958970300880995	False
R-HSA-9696273	RND1 GTPase cycle	CD44	28	151	0.3204	-0.2	0.5204	0.23277157002766624	0.9958970300880995	False
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	CHI3L1	19	160	1.1736	0.0463	1.1273	0.24835997854300185	0.9958970300880995	False
R-HSA-2022090	Assembly of collagen fibrils and other multimeric structures	CD44	19	160	0.8239	-0.1904	1.0143	0.31065235648177136	0.9958970300880995	False
R-HSA-9013424	RHOV GTPase cycle	CHI3L1	30	149	0.333	0.1547	0.1783	0.8726694164112545	0.9958970300880995	False
R-HSA-9013424	RHOV GTPase cycle	CD44	30	149	-0.5209	-0.1488	-0.3721	0.5152210985520869	0.9958970300880995	False
R-HSA-9013418	RHOBTB2 GTPase cycle	CHI3L1	20	159	1.0241	0.1356	0.8884	0.37810300682644005	0.9958970300880995	False
