pathway_id	pathway_name	target	n_mut	n_wt	med_fc_mut	med_fc_wt	effect	p_value	q_value	sig
R-HSA-5660724	Defective transport of neurotransmitters by SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	CHI3L1	6	173	-0.2762	0.1594	-0.4355	0.9284089664904452	0.9958970300880995	False
R-HSA-5660724	Defective transport of neurotransmitters by SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	CD44	6	173	0.2124	-0.2227	0.4351	0.3269431206197047	0.9958970300880995	False
R-HSA-379401	Dopamine clearance from the synaptic cleft	CHI3L1	8	171	-0.2762	0.1594	-0.4355	0.9045929085523249	0.9958970300880995	False
R-HSA-379401	Dopamine clearance from the synaptic cleft	CD44	8	171	-0.0684	-0.2	0.1316	0.498718614423651	0.9958970300880995	False
R-HSA-1855170	IPs transport between nucleus and cytosol	CHI3L1	12	167	-0.0306	0.1594	-0.19	0.8197817894850296	0.9958970300880995	False
R-HSA-1855170	IPs transport between nucleus and cytosol	CD44	12	167	-0.3276	-0.1798	-0.1478	0.9013102366487363	0.9958970300880995	False
R-HSA-6807062	Zymostenol biosynthesis via lathosterol (Kandutsch-Russell pathway)	CHI3L1	7	172	1.408	0.1231	1.2848	0.2788948257256288	0.9958970300880995	False
R-HSA-180746	Nuclear import of Rev protein	CD44	13	166	-0.3462	-0.1761	-0.1701	0.7450671190018188	0.9958970300880995	False
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	CHI3L1	26	153	0.0454	0.1594	-0.114	0.5875273425976458	0.9958970300880995	False
R-HSA-3108214	SUMOylation of DNA damage response and repair proteins	CD44	26	153	-0.2363	-0.1798	-0.0565	0.440308093830003	0.9958970300880995	False
R-HSA-168276	NS1 Mediated Effects on Host Pathways	CHI3L1	16	163	-0.0306	0.1594	-0.19	0.893416809352443	0.9958970300880995	False
R-HSA-168276	NS1 Mediated Effects on Host Pathways	CD44	16	163	-0.3276	-0.1724	-0.1552	0.6042962309021953	0.9958970300880995	False
R-HSA-3232142	SUMOylation of ubiquitinylation proteins	CHI3L1	15	164	0.8745	0.1452	0.7294	0.29419326049135863	0.9958970300880995	False
R-HSA-3232142	SUMOylation of ubiquitinylation proteins	CD44	15	164	-0.2727	-0.1803	-0.0923	0.6562509420333893	0.9958970300880995	False
R-HSA-165054	Rev-mediated nuclear export of HIV RNA	CHI3L1	15	164	-0.2085	0.1972	-0.4056	0.5476608447107536	0.9958970300880995	False
R-HSA-6807062	Zymostenol biosynthesis via lathosterol (Kandutsch-Russell pathway)	CD44	7	172	-0.2727	-0.1803	-0.0923	0.9332782826596445	0.9958970300880995	False
R-HSA-4615885	SUMOylation of DNA replication proteins	CHI3L1	20	159	0.4926	0.1547	0.3379	0.4243016531939223	0.9958970300880995	False
R-HSA-4615885	SUMOylation of DNA replication proteins	CD44	20	159	-0.0839	-0.2	0.116	0.2571199240016676	0.9958970300880995	False
R-HSA-4551638	SUMOylation of chromatin organization proteins	CHI3L1	22	157	0.4926	0.1547	0.3379	0.25243257531133934	0.9958970300880995	False
R-HSA-4551638	SUMOylation of chromatin organization proteins	CD44	22	157	-0.2363	-0.1798	-0.0565	0.5113083061946175	0.9958970300880995	False
R-HSA-9615933	Postmitotic nuclear pore complex (NPC) reformation	CHI3L1	12	167	-0.2883	0.1726	-0.4609	0.46915715476514297	0.9958970300880995	False
