aliquot_barcode	true_mutation_count	case_barcode	timepoint
OLIG-PT-0031-NB-01D-WGS-JH31F5	119353	OLIG-PT-0031	NB
OLIG-PT-0031-NB-01D-WXS-E21RK4	119353	OLIG-PT-0031	NB
OLIG-PT-0031-R1-01D-WGS-U0XTHA	119353	OLIG-PT-0031	R1
OLIG-PT-0031-R1-01D-WXS-6IJG40	119353	OLIG-PT-0031	R1
OLIG-PT-0031-R2-01D-WGS-6FI0XT	119353	OLIG-PT-0031	R2
OLIG-PT-0031-R2-01D-WXS-JULMNG	119353	OLIG-PT-0031	R2
OLIG-PT-0033-NB-01D-WGS-RTTK8U	98609	OLIG-PT-0033	NB
OLIG-PT-0033-NB-01D-WXS-HWRAQF	98609	OLIG-PT-0033	NB
OLIG-PT-0033-R1-01D-WGS-7WIBTN	98609	OLIG-PT-0033	R1
OLIG-PT-0033-R1-01D-WXS-T20DU3	98609	OLIG-PT-0033	R1
OLIG-PT-0033-TP-01D-WGS-2Q45FO	98609	OLIG-PT-0033	TP
OLIG-PT-0033-TP-01D-WXS-5AE1SM	98609	OLIG-PT-0033	TP
OLIG-PT-0034-NB-01D-WGS-8N9OML	6876	OLIG-PT-0034	NB
OLIG-PT-0034-NB-01D-WXS-CWA61T	6876	OLIG-PT-0034	NB
OLIG-PT-0034-R1-01D-WGS-OS30BJ	6876	OLIG-PT-0034	R1
OLIG-PT-0034-R1-01D-WXS-CDAPUP	6876	OLIG-PT-0034	R1
OLIG-PT-0034-TP-01D-WGS-IEMVTI	6876	OLIG-PT-0034	TP
OLIG-PT-0034-TP-01D-WXS-7FNPVZ	6876	OLIG-PT-0034	TP
OLIG-PT-0035-NB-01D-WGS-DJBQ0R	6043	OLIG-PT-0035	NB
OLIG-PT-0035-NB-01D-WXS-LQ2A3R	6043	OLIG-PT-0035	NB
OLIG-PT-0035-R1-01D-WGS-F67LSX	6043	OLIG-PT-0035	R1
OLIG-PT-0035-R1-01D-WXS-D2B5BY	6043	OLIG-PT-0035	R1
OLIG-PT-0035-R2-01D-WGS-5E5KN2	6043	OLIG-PT-0035	R2
OLIG-PT-0035-R2-01D-WXS-Y95931	6043	OLIG-PT-0035	R2
OLIG-PT-0036-NB-01D-WGS-ITMHZR	7494	OLIG-PT-0036	NB
OLIG-PT-0036-NB-01D-WXS-EVGHQV	7494	OLIG-PT-0036	NB
OLIG-PT-0036-R1-01D-WGS-5410NM	7494	OLIG-PT-0036	R1
OLIG-PT-0036-R1-01D-WXS-9E35B4	7494	OLIG-PT-0036	R1
OLIG-PT-0036-TP-01D-WGS-CF9ICT	7494	OLIG-PT-0036	TP
OLIG-PT-0036-TP-01D-WXS-UCITV0	7494	OLIG-PT-0036	TP
OLIG-SF-0043-NB-01D-WGS-U88GQS	28982	OLIG-SF-0043	NB
OLIG-SF-0043-NB-01D-WXS-TAW9II	28982	OLIG-SF-0043	NB
OLIG-SF-0043-R1-01D-WGS-92W3T0	28982	OLIG-SF-0043	R1
OLIG-SF-0043-R1-01D-WXS-81RHED	28982	OLIG-SF-0043	R1
OLIG-SF-0043-TP-01D-WGS-2VO2MY	28982	OLIG-SF-0043	TP
OLIG-SF-0043-TP-01D-WXS-MW3E3D	28982	OLIG-SF-0043	TP
OLIG-SF-0060-NB-01D-WGS-5CY49A	39235	OLIG-SF-0060	NB
OLIG-SF-0060-NB-01D-WXS-B2TWQD	39235	OLIG-SF-0060	NB
OLIG-SF-0060-R1-01D-WGS-ZN6LJG	39235	OLIG-SF-0060	R1
OLIG-SF-0060-R1-01D-WXS-31NGDL	39235	OLIG-SF-0060	R1
OLIG-SF-0060-TP-01D-WGS-LMS3GQ	39235	OLIG-SF-0060	TP
OLIG-SF-0060-TP-01D-WXS-96I9X3	39235	OLIG-SF-0060	TP
OLIG-SF-0083-NB-01D-WGS-TS9NXG	5873	OLIG-SF-0083	NB
OLIG-SF-0083-NB-01D-WXS-WQ9NXC	5873	OLIG-SF-0083	NB
OLIG-SF-0083-R1-01D-WGS-FZHR18	5873	OLIG-SF-0083	R1
OLIG-SF-0083-R1-01D-WXS-OF8K4L	5873	OLIG-SF-0083	R1
OLIG-SF-0083-R2-01D-WGS-UPNPNA	5873	OLIG-SF-0083	R2
OLIG-SF-0083-R2-01D-WXS-0LRFTL	5873	OLIG-SF-0083	R2
OLIG-SF-0094-NB-01D-WGS-70ZETB	99776	OLIG-SF-0094	NB
OLIG-SF-0094-NB-01D-WXS-T3F1DX	99776	OLIG-SF-0094	NB
OLIG-SF-0094-R1-01D-WGS-I667AF	99776	OLIG-SF-0094	R1
OLIG-SF-0094-R1-01D-WXS-8Z6XEX	99776	OLIG-SF-0094	R1
OLIG-SF-0094-TP-01D-WGS-9Q1D5F	99776	OLIG-SF-0094	TP
OLIG-SF-0094-TP-01D-WXS-FYJ4VU	99776	OLIG-SF-0094	TP
OLIG-SF-0129-NB-01D-WGS-2VRL80	7397	OLIG-SF-0129	NB
OLIG-SF-0129-NB-01D-WXS-FZCWX6	7397	OLIG-SF-0129	NB
OLIG-SF-0129-R2-01D-WGS-XQVXR3	7397	OLIG-SF-0129	R2
OLIG-SF-0129-R2-01D-WXS-0PJ8MD	7397	OLIG-SF-0129	R2
OLIG-SF-0129-TP-01D-WGS-K3YBHV	7397	OLIG-SF-0129	TP
OLIG-SF-0129-TP-01D-WXS-E8ZU4G	7397	OLIG-SF-0129	TP
OLIG-SF-0147-NB-01D-WGS-MRB0XW	397734	OLIG-SF-0147	NB
OLIG-SF-0147-NB-01D-WXS-ODL9MJ	397734	OLIG-SF-0147	NB
OLIG-SF-0147-R2-01D-WGS-K8FYM0	397734	OLIG-SF-0147	R2
OLIG-SF-0147-R2-01D-WXS-2212P1	397734	OLIG-SF-0147	R2
OLIG-SF-0147-R3-01D-WGS-CU3CJ1	397734	OLIG-SF-0147	R3
OLIG-SF-0147-R3-01D-WXS-G8PUGB	397734	OLIG-SF-0147	R3
OLIG-SF-0168-NB-01D-WGS-OF2N3A	73940	OLIG-SF-0168	NB
OLIG-SF-0168-NB-01D-WXS-7BE3LR	73940	OLIG-SF-0168	NB
OLIG-SF-0168-R2-01D-WGS-X5OHFV	73940	OLIG-SF-0168	R2
OLIG-SF-0168-R2-01D-WXS-TWIXU5	73940	OLIG-SF-0168	R2
OLIG-SF-0168-TP-01D-WGS-93BWKW	73940	OLIG-SF-0168	TP
OLIG-SF-0168-TP-01D-WXS-MWRGI0	73940	OLIG-SF-0168	TP
OLIG-SF-0185-NB-01D-WGS-UMHUO2	7802	OLIG-SF-0185	NB
OLIG-SF-0185-NB-01D-WXS-2RF5DB	7802	OLIG-SF-0185	NB
OLIG-SF-0185-R1-01D-WGS-SHF4U0	7802	OLIG-SF-0185	R1
OLIG-SF-0185-R1-01D-WXS-FB32TA	7802	OLIG-SF-0185	R1
OLIG-SF-0185-TP-01D-WGS-FPUXJV	7802	OLIG-SF-0185	TP
OLIG-SF-0185-TP-01D-WXS-6NYQXY	7802	OLIG-SF-0185	TP
OLIG-SF-0191-NB-01D-WGS-2BQSHP	6718	OLIG-SF-0191	NB
OLIG-SF-0191-NB-01D-WXS-IVAJJK	6718	OLIG-SF-0191	NB
OLIG-SF-0191-R1-01D-WGS-EB78A7	6718	OLIG-SF-0191	R1
OLIG-SF-0191-R1-01D-WXS-PDW6KE	6718	OLIG-SF-0191	R1
OLIG-SF-0191-R2-01D-WGS-67KW4B	6718	OLIG-SF-0191	R2
OLIG-SF-0191-R2-01D-WXS-NY9T8W	6718	OLIG-SF-0191	R2
OLIG-SF-0191-TP-01D-WGS-R4GP2M	6718	OLIG-SF-0191	TP
OLIG-SF-0191-TP-01D-WXS-MWSXTX	6718	OLIG-SF-0191	TP
OLIG-SF-0226-NB-01D-WGS-7W9XQ6	8987	OLIG-SF-0226	NB
OLIG-SF-0226-NB-01D-WXS-726715	8987	OLIG-SF-0226	NB
OLIG-SF-0226-R1-01D-WGS-IS65XR	8987	OLIG-SF-0226	R1
OLIG-SF-0226-R1-01D-WXS-QQ7NOK	8987	OLIG-SF-0226	R1
OLIG-SF-0226-R2-01D-WGS-SVGD3A	8987	OLIG-SF-0226	R2
OLIG-SF-0226-R2-01D-WXS-47TEN1	8987	OLIG-SF-0226	R2
OLIG-SF-0295-NB-01D-WGS-LBEMM1	7527	OLIG-SF-0295	NB
OLIG-SF-0295-NB-01D-WXS-DF4PS6	7527	OLIG-SF-0295	NB
OLIG-SF-0295-R1-01D-WGS-NS92KY	7527	OLIG-SF-0295	R1
OLIG-SF-0295-R1-01D-WXS-85SG17	7527	OLIG-SF-0295	R1
OLIG-SF-0295-TP-01D-WGS-ITPZH3	7527	OLIG-SF-0295	TP
OLIG-SF-0295-TP-01D-WXS-0M3ASQ	7527	OLIG-SF-0295	TP
OLIG-SF-0387-NB-01D-WGS-SI0KVE	2722	OLIG-SF-0387	NB
OLIG-SF-0387-NB-01D-WXS-3H0S8W	2722	OLIG-SF-0387	NB
OLIG-SF-0387-R1-01D-WGS-TSZNGL	2722	OLIG-SF-0387	R1
OLIG-SF-0387-R1-01D-WXS-7WZ01V	2722	OLIG-SF-0387	R1
OLIG-SF-0387-TP-01D-WGS-GJLK00	2722	OLIG-SF-0387	TP
OLIG-SF-0387-TP-01D-WXS-FNJQQF	2722	OLIG-SF-0387	TP
OLIG-SF-0396-NB-01D-WGS-9SJDN4	233852	OLIG-SF-0396	NB
OLIG-SF-0396-NB-01D-WXS-3P9ZWW	233852	OLIG-SF-0396	NB
OLIG-SF-0396-R1-01D-WGS-936YRU	233852	OLIG-SF-0396	R1
OLIG-SF-0396-R1-01D-WXS-JSVNLT	233852	OLIG-SF-0396	R1
OLIG-SF-0396-TP-01D-WGS-VBJ1KC	233852	OLIG-SF-0396	TP
OLIG-SF-0396-TP-01D-WXS-YXIYBV	233852	OLIG-SF-0396	TP
OLIG-SF-0411-NB-01D-WGS-GVTG3Y	6740	OLIG-SF-0411	NB
OLIG-SF-0411-NB-01D-WXS-H8P4UJ	6740	OLIG-SF-0411	NB
OLIG-SF-0411-R1-01D-WGS-97HUH6	6740	OLIG-SF-0411	R1
OLIG-SF-0411-R1-01D-WXS-6MOGG5	6740	OLIG-SF-0411	R1
OLIG-SF-0411-R2-01D-WGS-GC2OD0	6740	OLIG-SF-0411	R2
OLIG-SF-0411-R2-01D-WXS-A578PX	6740	OLIG-SF-0411	R2
OLIG-SF-0411-TP-01D-WGS-6LAKD5	6740	OLIG-SF-0411	TP
OLIG-SF-0411-TP-01D-WXS-3C53A4	6740	OLIG-SF-0411	TP
OLIG-SF-0450-NB-01D-WGS-3QR3KV	8856	OLIG-SF-0450	NB
OLIG-SF-0450-NB-01D-WXS-4CHSPH	8856	OLIG-SF-0450	NB
OLIG-SF-0450-R1-01D-WGS-XFMDTL	8856	OLIG-SF-0450	R1
OLIG-SF-0450-R1-01D-WXS-PHIEYB	8856	OLIG-SF-0450	R1
OLIG-SF-0450-TP-01D-WGS-5I87BS	8856	OLIG-SF-0450	TP
OLIG-SF-0450-TP-01D-WXS-XMJEMW	8856	OLIG-SF-0450	TP
OLIG-SF-0531-NB-01D-WGS-9B8YYH	14741	OLIG-SF-0531	NB
OLIG-SF-0531-NB-01D-WXS-T9Q22Y	14741	OLIG-SF-0531	NB
OLIG-SF-0531-R1-01D-WGS-8WI84F	14741	OLIG-SF-0531	R1
OLIG-SF-0531-R1-01D-WXS-58TJVJ	14741	OLIG-SF-0531	R1
OLIG-SF-0531-TP-01D-WGS-GUFP4T	14741	OLIG-SF-0531	TP
OLIG-SF-0531-TP-01D-WXS-XWWK52	14741	OLIG-SF-0531	TP
OLIG-SJ-0001-NB-01D-WGS-VGFRYO	7440	OLIG-SJ-0001	NB
OLIG-SJ-0001-NB-01D-WXS-5B3T1H	7440	OLIG-SJ-0001	NB
OLIG-SJ-0001-R1-01D-WGS-SF9VXU	7440	OLIG-SJ-0001	R1
OLIG-SJ-0001-R1-01D-WXS-66GC0C	7440	OLIG-SJ-0001	R1
OLIG-SJ-0001-R2-01D-WGS-MUXEXO	7440	OLIG-SJ-0001	R2
OLIG-SJ-0001-R2-01D-WXS-8U91G1	7440	OLIG-SJ-0001	R2
OLIG-SJ-0002-NB-01D-WGS-WHDW0J	129491	OLIG-SJ-0002	NB
OLIG-SJ-0002-NB-01D-WXS-V5UP0V	129491	OLIG-SJ-0002	NB
OLIG-SJ-0002-R1-01D-WGS-0YFQ8I	129491	OLIG-SJ-0002	R1
OLIG-SJ-0002-R1-01D-WXS-T6L4VE	129491	OLIG-SJ-0002	R1
OLIG-SJ-0002-R2-01D-WGS-QX67IK	129491	OLIG-SJ-0002	R2
OLIG-SJ-0002-R2-01D-WXS-U0Z6YV	129491	OLIG-SJ-0002	R2
OLIG-SJ-0002-R3-01D-WGS-67L5PV	129491	OLIG-SJ-0002	R3
OLIG-SJ-0002-R3-01D-WXS-76E5F4	129491	OLIG-SJ-0002	R3
OLIG-SJ-0003-NB-01D-WGS-S46OZY	4861	OLIG-SJ-0003	NB
OLIG-SJ-0003-NB-01D-WXS-138JQJ	4861	OLIG-SJ-0003	NB
OLIG-SJ-0003-R1-01D-WGS-9WNN8Z	4861	OLIG-SJ-0003	R1
OLIG-SJ-0003-R1-01D-WXS-1LWZNT	4861	OLIG-SJ-0003	R1
OLIG-SJ-0003-R2-01D-WGS-I4V8ED	4861	OLIG-SJ-0003	R2
OLIG-SJ-0003-R2-01D-WXS-5MCORW	4861	OLIG-SJ-0003	R2
OLIG-SJ-0003-TP-01D-WGS-J2CY4D	4861	OLIG-SJ-0003	TP
OLIG-SJ-0003-TP-01D-WXS-4EC9Q6	4861	OLIG-SJ-0003	TP
OLIG-SJ-0004-NB-01D-WGS-AA5V28	2114	OLIG-SJ-0004	NB
OLIG-SJ-0004-NB-01D-WXS-YMR7PV	2114	OLIG-SJ-0004	NB
OLIG-SJ-0004-R1-01D-WGS-1DNCRY	2114	OLIG-SJ-0004	R1
OLIG-SJ-0004-R1-01D-WXS-0IYRR2	2114	OLIG-SJ-0004	R1
OLIG-SJ-0004-R2-01D-WGS-M6NTJK	2114	OLIG-SJ-0004	R2
OLIG-SJ-0004-R2-01D-WXS-7PJ7KH	2114	OLIG-SJ-0004	R2
OLIG-SJ-0005-NB-01D-WGS-KUD0RF	824	OLIG-SJ-0005	NB
OLIG-SJ-0005-NB-01D-WXS-L4BX58	824	OLIG-SJ-0005	NB
OLIG-SJ-0005-R1-01D-WGS-CV1K5Z	824	OLIG-SJ-0005	R1
OLIG-SJ-0005-R1-01D-WXS-ZL9G5D	824	OLIG-SJ-0005	R1
OLIG-SJ-0005-TP-01D-WGS-UKZGVM	824	OLIG-SJ-0005	TP
OLIG-SJ-0005-TP-01D-WXS-SJ9B2T	824	OLIG-SJ-0005	TP
OLIG-SJ-0006-NB-01D-WGS-RY3X5Z	54261	OLIG-SJ-0006	NB
OLIG-SJ-0006-NB-01D-WXS-WZV2ZA	54261	OLIG-SJ-0006	NB
OLIG-SJ-0006-R1-01D-WGS-606WVS	54261	OLIG-SJ-0006	R1
OLIG-SJ-0006-R1-01D-WXS-895FS2	54261	OLIG-SJ-0006	R1
OLIG-SJ-0006-R2-01D-WGS-GGWFA4	54261	OLIG-SJ-0006	R2
OLIG-SJ-0006-R2-01D-WXS-GIZM22	54261	OLIG-SJ-0006	R2
OLIG-SJ-0007-NB-01D-WGS-HLVTQP	17786	OLIG-SJ-0007	NB
OLIG-SJ-0007-NB-01D-WXS-I6ZGWU	17786	OLIG-SJ-0007	NB
OLIG-SJ-0007-R1-01D-WGS-I17HD9	17786	OLIG-SJ-0007	R1
OLIG-SJ-0007-R1-01D-WXS-P65B8W	17786	OLIG-SJ-0007	R1
OLIG-SJ-0007-R2-01D-WGS-36F8FO	17786	OLIG-SJ-0007	R2
OLIG-SJ-0007-R2-01D-WXS-5S6LG5	17786	OLIG-SJ-0007	R2
OLIG-SJ-0008-NB-01D-WGS-6ZDDFW	69123	OLIG-SJ-0008	NB
OLIG-SJ-0008-NB-01D-WXS-QFYAIH	69123	OLIG-SJ-0008	NB
OLIG-SJ-0008-R1-01D-WGS-5I0PKI	69123	OLIG-SJ-0008	R1
OLIG-SJ-0008-R1-01D-WXS-PCP7NH	69123	OLIG-SJ-0008	R1
OLIG-SJ-0008-R2-01D-WGS-7F74FJ	69123	OLIG-SJ-0008	R2
OLIG-SJ-0008-R2-01D-WXS-B091QC	69123	OLIG-SJ-0008	R2
OLIG-SJ-0008-R3-01D-WGS-KLUBZE	69123	OLIG-SJ-0008	R3
OLIG-SJ-0008-R3-01D-WXS-IAF4EP	69123	OLIG-SJ-0008	R3
OLIG-SJ-0008-TP-01D-WGS-PU46DN	69123	OLIG-SJ-0008	TP
OLIG-SJ-0008-TP-01D-WXS-WO61X8	69123	OLIG-SJ-0008	TP
OLIG-SJ-0009-NB-01D-WGS-WTB4ZY	3017	OLIG-SJ-0009	NB
OLIG-SJ-0009-NB-01D-WXS-EMDVN0	3017	OLIG-SJ-0009	NB
OLIG-SJ-0009-R1-01D-WGS-AIYXEX	3017	OLIG-SJ-0009	R1
OLIG-SJ-0009-R1-01D-WXS-1ZJXVH	3017	OLIG-SJ-0009	R1
OLIG-SJ-0009-TP-01D-WGS-P9D311	3017	OLIG-SJ-0009	TP
OLIG-SJ-0009-TP-01D-WXS-YW6AQ5	3017	OLIG-SJ-0009	TP
OLIG-SJ-0010-NB-01D-WGS-O2NMKV	299420	OLIG-SJ-0010	NB
OLIG-SJ-0010-NB-01D-WXS-PHRLVM	299420	OLIG-SJ-0010	NB
OLIG-SJ-0010-R1-01D-WGS-RB1YA7	299420	OLIG-SJ-0010	R1
OLIG-SJ-0010-R1-01D-WXS-179742	299420	OLIG-SJ-0010	R1
OLIG-SJ-0010-R2-01D-WGS-O2LA8S	299420	OLIG-SJ-0010	R2
OLIG-SJ-0010-R2-01D-WXS-T2GG5K	299420	OLIG-SJ-0010	R2
OLIG-SJ-0011-NB-01D-WGS-B0IIH0	5317	OLIG-SJ-0011	NB
OLIG-SJ-0011-NB-01D-WXS-020F3M	5317	OLIG-SJ-0011	NB
OLIG-SJ-0011-R1-01D-WGS-Y7YQGX	5317	OLIG-SJ-0011	R1
OLIG-SJ-0011-R1-01D-WXS-HQEFFZ	5317	OLIG-SJ-0011	R1
OLIG-SJ-0011-TP-01D-WGS-EOGYE4	5317	OLIG-SJ-0011	TP
OLIG-SJ-0011-TP-01D-WXS-HWX9V0	5317	OLIG-SJ-0011	TP
OLIG-SJ-0012-NB-01D-WGS-ZXHDKC	215709	OLIG-SJ-0012	NB
OLIG-SJ-0012-NB-01D-WXS-SEMOS3	215709	OLIG-SJ-0012	NB
OLIG-SJ-0012-R1-01D-WGS-Z21G18	215709	OLIG-SJ-0012	R1
OLIG-SJ-0012-R1-01D-WXS-KWV34F	215709	OLIG-SJ-0012	R1
OLIG-SJ-0012-R2-01D-WGS-PA4OY7	215709	OLIG-SJ-0012	R2
OLIG-SJ-0012-R2-01D-WXS-KSSN80	215709	OLIG-SJ-0012	R2
OLIG-SJ-0013-NB-01D-WGS-A2ROVJ	4446	OLIG-SJ-0013	NB
OLIG-SJ-0013-NB-01D-WXS-DTTTQF	4446	OLIG-SJ-0013	NB
OLIG-SJ-0013-R1-01D-WGS-LGTXC7	4446	OLIG-SJ-0013	R1
OLIG-SJ-0013-R1-01D-WXS-NAREYD	4446	OLIG-SJ-0013	R1
OLIG-SJ-0013-R2-01D-WGS-9KE6PZ	4446	OLIG-SJ-0013	R2
OLIG-SJ-0013-R2-01D-WXS-RU1GU9	4446	OLIG-SJ-0013	R2
OLIG-SJ-0014-NB-01D-WGS-C2ZOTM	3379	OLIG-SJ-0014	NB
OLIG-SJ-0014-NB-01D-WXS-0H3GX6	3379	OLIG-SJ-0014	NB
OLIG-SJ-0014-R1-01D-WGS-2Y0MT0	3379	OLIG-SJ-0014	R1
OLIG-SJ-0014-R1-01D-WXS-X5HGBE	3379	OLIG-SJ-0014	R1
OLIG-SJ-0014-TP-01D-WGS-QFTJ57	3379	OLIG-SJ-0014	TP
OLIG-SJ-0014-TP-01D-WXS-Q0W7GD	3379	OLIG-SJ-0014	TP
OLIG-SJ-0015-NB-01D-WGS-67774O	6746	OLIG-SJ-0015	NB
OLIG-SJ-0015-NB-01D-WXS-4LOL6K	6746	OLIG-SJ-0015	NB
OLIG-SJ-0015-R1-01D-WGS-OSZK4K	6746	OLIG-SJ-0015	R1
OLIG-SJ-0015-R1-01D-WXS-8UM829	6746	OLIG-SJ-0015	R1
OLIG-SJ-0015-R2-01D-WGS-1D0BWH	6746	OLIG-SJ-0015	R2
OLIG-SJ-0015-R2-01D-WXS-HMHIG7	6746	OLIG-SJ-0015	R2
OLIG-SJ-0016-NB-01D-WGS-DZ0HHN	4056	OLIG-SJ-0016	NB
OLIG-SJ-0016-NB-01D-WXS-LWVMV5	4056	OLIG-SJ-0016	NB
OLIG-SJ-0016-R1-01D-WGS-PTHPXU	4056	OLIG-SJ-0016	R1
OLIG-SJ-0016-R1-01D-WXS-IMH67B	4056	OLIG-SJ-0016	R1
OLIG-SJ-0016-TP-01D-WGS-FZWDT8	4056	OLIG-SJ-0016	TP
OLIG-SJ-0016-TP-01D-WXS-90IZWK	4056	OLIG-SJ-0016	TP
OLIG-SJ-0017-NB-01D-WGS-FE2N55	125526	OLIG-SJ-0017	NB
OLIG-SJ-0017-NB-01D-WXS-PEU3XA	125526	OLIG-SJ-0017	NB
OLIG-SJ-0017-R1-01D-WGS-V5LIUP	125526	OLIG-SJ-0017	R1
OLIG-SJ-0017-R1-01D-WXS-H2A8RG	125526	OLIG-SJ-0017	R1
OLIG-SJ-0017-R2-01D-WGS-R0DFC1	125526	OLIG-SJ-0017	R2
OLIG-SJ-0017-R2-01D-WXS-CMJXYM	125526	OLIG-SJ-0017	R2
OLIG-SJ-0018-NB-01D-WGS-7HJ9Z1	4102	OLIG-SJ-0018	NB
OLIG-SJ-0018-NB-01D-WXS-UL1EJ0	4102	OLIG-SJ-0018	NB
OLIG-SJ-0018-R1-01D-WGS-ITHISZ	4102	OLIG-SJ-0018	R1
OLIG-SJ-0018-R1-01D-WXS-RA8YMP	4102	OLIG-SJ-0018	R1
OLIG-SJ-0018-TP-01D-WGS-YYUPOA	4102	OLIG-SJ-0018	TP
OLIG-SJ-0018-TP-01D-WXS-PN6SQ5	4102	OLIG-SJ-0018	TP
OLIG-SJ-0019-NB-01D-WGS-5FE0PF	10371	OLIG-SJ-0019	NB
OLIG-SJ-0019-NB-01D-WXS-AMOUCM	10371	OLIG-SJ-0019	NB
OLIG-SJ-0019-R1-01D-WGS-VRA6B2	10371	OLIG-SJ-0019	R1
OLIG-SJ-0019-R1-01D-WXS-YWQNJQ	10371	OLIG-SJ-0019	R1
OLIG-SJ-0019-TP-01D-WGS-W0VLXS	10371	OLIG-SJ-0019	TP
OLIG-SJ-0019-TP-01D-WXS-EQAQAH	10371	OLIG-SJ-0019	TP
OLIG-SJ-0020-NB-01D-WGS-6RGE0P	8803	OLIG-SJ-0020	NB
OLIG-SJ-0020-NB-01D-WXS-F43GR4	8803	OLIG-SJ-0020	NB
OLIG-SJ-0020-R1-01D-WGS-YDJ9EU	8803	OLIG-SJ-0020	R1
OLIG-SJ-0020-R1-01D-WXS-0E6MRR	8803	OLIG-SJ-0020	R1
OLIG-SJ-0020-R2-01D-WGS-ZQHYX9	8803	OLIG-SJ-0020	R2
OLIG-SJ-0020-R2-01D-WXS-AMIT8P	8803	OLIG-SJ-0020	R2
OLIG-SJ-0020-R3-01D-WGS-XWIKGD	8803	OLIG-SJ-0020	R3
OLIG-SJ-0020-R3-01D-WXS-MC2TME	8803	OLIG-SJ-0020	R3
OLIG-SN-0002-NB-01D-WGS-3PWU0W	4918	OLIG-SN-0002	NB
OLIG-SN-0002-NB-01D-WXS-P7T4ZK	4918	OLIG-SN-0002	NB
OLIG-SN-0002-R1-01D-WGS-5KS8JY	4918	OLIG-SN-0002	R1
OLIG-SN-0002-R1-01D-WXS-05PPYH	4918	OLIG-SN-0002	R1
OLIG-SN-0002-TP-01D-WGS-A6POX5	4918	OLIG-SN-0002	TP
OLIG-SN-0002-TP-01D-WXS-U8PEMO	4918	OLIG-SN-0002	TP
TCGA-06-0125-NB-01D-WGS-FY520M	18552	TCGA-06-0125	NB
TCGA-06-0125-NB-01D-WXS-SEFTF4	18552	TCGA-06-0125	NB
TCGA-06-0125-R1-02D-WXS-FB1H59	18552	TCGA-06-0125	R1
TCGA-06-0125-R1-11D-WGS-MA69JO	18552	TCGA-06-0125	R1
TCGA-06-0125-R1-11D-WXS-8Q4RKD	18552	TCGA-06-0125	R1
TCGA-06-0125-TP-01D-WGS-FZT8H0	18552	TCGA-06-0125	TP
TCGA-06-0125-TP-01D-WXS-Z67AVH	18552	TCGA-06-0125	TP
TCGA-06-0125-TP-02D-WXS-FQUL0U	18552	TCGA-06-0125	TP
TCGA-06-0152-NB-01D-WGS-X48HHF	18015	TCGA-06-0152	NB
TCGA-06-0152-NB-01D-WXS-LWI8HU	18015	TCGA-06-0152	NB
TCGA-06-0152-R1-01D-WGS-EK2VYI	18015	TCGA-06-0152	R1
TCGA-06-0152-R1-01D-WXS-MONTUP	18015	TCGA-06-0152	R1
TCGA-06-0152-R1-02D-WXS-P9JX25	18015	TCGA-06-0152	R1
TCGA-06-0152-TP-02D-WGS-6HJBZJ	18015	TCGA-06-0152	TP
TCGA-06-0152-TP-02D-WXS-6DXTU8	18015	TCGA-06-0152	TP
TCGA-06-0152-TP-03D-WXS-828IO0	18015	TCGA-06-0152	TP
TCGA-06-0171-NB-01D-WGS-OEUQCY	14603	TCGA-06-0171	NB
TCGA-06-0171-NB-01D-WXS-RLY0P8	14603	TCGA-06-0171	NB
TCGA-06-0171-R1-02D-WXS-XY0A8T	14603	TCGA-06-0171	R1
TCGA-06-0171-R1-11D-WGS-8809O1	14603	TCGA-06-0171	R1
TCGA-06-0171-R1-11D-WXS-87WAQK	14603	TCGA-06-0171	R1
TCGA-06-0171-TP-02D-WGS-LIDF0X	14603	TCGA-06-0171	TP
TCGA-06-0171-TP-02D-WXS-CY280C	14603	TCGA-06-0171	TP
TCGA-06-0171-TP-03D-WXS-GBOF7P	14603	TCGA-06-0171	TP
TCGA-06-0190-NB-01D-WGS-MAG162	19671	TCGA-06-0190	NB
TCGA-06-0190-NB-01D-WXS-DUSB40	19671	TCGA-06-0190	NB
TCGA-06-0190-R1-01D-WGS-P20F5P	19671	TCGA-06-0190	R1
TCGA-06-0190-R1-01D-WXS-ODJETQ	19671	TCGA-06-0190	R1
TCGA-06-0190-R1-02D-WXS-LE9JNK	19671	TCGA-06-0190	R1
TCGA-06-0190-TP-01D-WGS-BM9MHX	19671	TCGA-06-0190	TP
TCGA-06-0190-TP-01D-WXS-6BX2M1	19671	TCGA-06-0190	TP
TCGA-06-0210-NB-01D-WGS-N1LE2J	15439	TCGA-06-0210	NB
TCGA-06-0210-NB-01D-WXS-3MLM58	15439	TCGA-06-0210	NB
TCGA-06-0210-R1-01D-WGS-PS45ZE	15439	TCGA-06-0210	R1
TCGA-06-0210-R1-01D-WXS-4MJVD2	15439	TCGA-06-0210	R1
TCGA-06-0210-R1-02D-WXS-5M0ICH	15439	TCGA-06-0210	R1
TCGA-06-0210-TP-01D-WGS-CDCYDJ	15439	TCGA-06-0210	TP
TCGA-06-0210-TP-01D-WXS-MGZTBD	15439	TCGA-06-0210	TP
TCGA-06-0211-NB-01D-WGS-4FM74R	15487	TCGA-06-0211	NB
TCGA-06-0211-NB-01D-WXS-B2K1SS	15487	TCGA-06-0211	NB
TCGA-06-0211-R1-02D-WGS-32OOWA	15487	TCGA-06-0211	R1
TCGA-06-0211-R1-02D-WXS-X1GNKU	15487	TCGA-06-0211	R1
