Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9758941,"Gastrulation",2,167,0.010276290689803704,0.0451826762349794,0.07998160693548184,14,104,0.006464043756603891,9606,Homo sapiens,"SOX2","","R-HSA-9756661;R-HSA-9835252;R-HSA-9754480;R-HSA-452353;R-HSA-9835484;R-HSA-9832988;R-HSA-9832824;R-HSA-9835623;R-HSA-9833063;R-HSA-9835244;R-HSA-9832845;R-HSA-9833066;R-HSA-480378;R-HSA-9832841"
R-HSA-416993,"Trafficking of GluR2-containing AMPA receptors",1,23,0.001415297520152606,0.04566250331829602,0.07998160693548184,3,3,1.8646280067126608E-4,9606,Homo sapiens,"GRIA2","","R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-9665348,"Signaling by ERBB2 ECD mutants",1,23,0.001415297520152606,0.04566250331829602,0.07998160693548184,13,15,9.323140033563305E-4,9606,Homo sapiens,"EGFR","","R-HSA-9665407;R-HSA-9665406;R-HSA-9665404;R-HSA-9665411;R-HSA-9665410;R-HSA-9665409;R-HSA-9665408;R-HSA-9665415;R-HSA-9665413;R-HSA-9665417;R-HSA-9665416;R-HSA-9665389;R-HSA-9665388"
R-HSA-180292,"GAB1 signalosome",1,23,0.001415297520152606,0.04566250331829602,0.07998160693548184,9,11,6.836969357946423E-4,9606,Homo sapiens,"EGFR","","R-HSA-177923;R-HSA-177939;R-HSA-177926;R-HSA-177927;R-HSA-177924;R-HSA-177941;R-HSA-177930;R-HSA-177944;R-HSA-177935"
R-HSA-6804760,"Regulation of TP53 Activity through Methylation",1,23,0.001415297520152606,0.04566250331829602,0.07998160693548184,8,12,7.458512026850643E-4,9606,Homo sapiens,"TP53","","R-HSA-6805730;R-HSA-3222116;R-HSA-6804242;R-HSA-6804383;R-HSA-6805740;R-HSA-6805755;R-HSA-3222237;R-HSA-6804379"
R-HSA-1839117,"Signaling by cytosolic FGFR1 fusion mutants",1,23,0.001415297520152606,0.04566250331829602,0.07998160693548184,1,14,8.701597364659083E-4,9606,Homo sapiens,"STAT3","","R-HSA-1888198"
R-HSA-9856651,"MITF-M-dependent gene expression",2,168,0.010337825364592948,0.045668448665625694,0.07998160693548184,2,113,0.007023432158617689,9606,Homo sapiens,"SOX2","","R-HSA-9926523;R-HSA-9926490"
R-HSA-9755511,"KEAP1-NFE2L2 pathway",2,169,0.010399360039382192,0.04615618022323276,0.07998160693548184,2,117,0.007272049226179377,9606,Homo sapiens,"IDH1","","R-HSA-9761844;R-HSA-9761822"
R-HSA-446652,"Interleukin-1 family signaling",2,170,0.010460894714171436,0.04664586150264738,0.07998160693548184,3,92,0.005718192553918826,9606,Homo sapiens,"STAT3;TP53","","R-HSA-9009072;R-HSA-9749487;R-HSA-9749464"
R-HSA-9609507,"Protein localization",2,171,0.01052242938896068,0.04713748312674515,0.07998160693548184,4,53,0.0032941761451923675,9606,Homo sapiens,"IDH1","","R-HSA-1268022;R-HSA-9033233;R-HSA-9033235;R-HSA-9033236"
R-HSA-881907,"Gastrin-CREB signalling pathway via PKC and MAPK",1,24,0.0014768321949418497,0.04760125772350876,0.07998160693548184,3,9,5.593884020137983E-4,9606,Homo sapiens,"EGFR","","R-HSA-2179415;R-HSA-2179387;R-HSA-2179407"
R-HSA-9834899,"Specification of the neural plate border",1,24,0.0014768321949418497,0.04760125772350876,0.07998160693548184,4,15,9.323140033563305E-4,9606,Homo sapiens,"SOX2","","R-HSA-9835623;R-HSA-9835252;R-HSA-9835484;R-HSA-9835244"
R-HSA-445144,"Signal transduction by L1",1,25,0.0015383668697310936,0.04953619262983899,0.07998160693548184,1,11,6.836969357946423E-4,9606,Homo sapiens,"EGFR","","R-HSA-445069"
R-HSA-877300,"Interferon gamma signaling",2,177,0.010891637437696142,0.05012743850451962,0.07998160693548184,2,23,0.0014295481384797065,9606,Homo sapiens,"CD44","","R-HSA-1031716;R-HSA-1031713"
R-HSA-9938024,"Somatic hypermutation of immunoglobulin genes",2,178,0.010953172112485386,0.05063238232156164,0.07998160693548184,3,28,0.0017403194729318167,9606,Homo sapiens,"STAT3;TP53","","R-HSA-9946710;R-HSA-9946750;R-HSA-9942461"
R-HSA-5633007,"Regulation of TP53 Activity",2,179,0.01101470678727463,0.051139192466934213,0.07998160693548184,63,97,0.006028963888370937,9606,Homo sapiens,"TP53","","R-HSA-6805479;R-HSA-6799332;R-HSA-6805730;R-HSA-6804194;R-HSA-6803425;R-HSA-6804193;R-HSA-6805103;R-HSA-6803437;R-HSA-6805740;R-HSA-5628871;R-HSA-6805109;R-HSA-6811508;R-HSA-6805620;R-HSA-6791409;R-HSA-6805755;R-HSA-6799431;R-HSA-3215251;R-HSA-6805059;R-HSA-6804425;R-HSA-6811479;R-HSA-6793685;R-HSA-69685;R-HSA-3222020;R-HSA-3700992;R-HSA-6804191;R-HSA-6805470;R-HSA-6804188;R-HSA-3700997;R-HSA-6804441;R-HSA-6798374;R-HSA-3222128;R-HSA-6805285;R-HSA-3222259;R-HSA-6799777;R-HSA-3222006;R-HSA-6792491;R-HSA-6805035;R-HSA-3222116;R-HSA-6804402;R-HSA-6799409;R-HSA-3239014;R-HSA-6803719;R-HSA-6805126;R-HSA-5633460;R-HSA-6804998;R-HSA-6805638;R-HSA-6804996;R-HSA-6805122;R-HSA-6804879;R-HSA-6799246;R-HSA-3222237;R-HSA-3221982;R-HSA-6805399;R-HSA-6805650;R-HSA-6804242;R-HSA-6799761;R-HSA-6804383;R-HSA-6805276;R-HSA-3222093;R-HSA-6804379;R-HSA-6804762;R-HSA-5693609;R-HSA-3215310"
R-HSA-1236382,"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants",1,26,0.0015999015445203372,0.05146731532730897,0.07998160693548184,22,23,0.0014295481384797065,9606,Homo sapiens,"EGFR","","R-HSA-1218833;R-HSA-1225947;R-HSA-1225950;R-HSA-1226014;R-HSA-1225951;R-HSA-1226012;R-HSA-1225949;R-HSA-1220610;R-HSA-1220611;R-HSA-1247842;R-HSA-1225952;R-HSA-1226016;R-HSA-1247841;R-HSA-1220614;R-HSA-1220612;R-HSA-1225956;R-HSA-1220613;R-HSA-1225957;R-HSA-1247844;R-HSA-1225960;R-HSA-1225961;R-HSA-1169421"
R-HSA-5637815,"Signaling by Ligand-Responsive EGFR Variants in Cancer",1,26,0.0015999015445203372,0.05146731532730897,0.07998160693548184,22,23,0.0014295481384797065,9606,Homo sapiens,"EGFR","","R-HSA-1218833;R-HSA-1225947;R-HSA-1225950;R-HSA-1226014;R-HSA-1225951;R-HSA-1226012;R-HSA-1225949;R-HSA-1220610;R-HSA-1220611;R-HSA-1247842;R-HSA-1225952;R-HSA-1226016;R-HSA-1247841;R-HSA-1220614;R-HSA-1220612;R-HSA-1225956;R-HSA-1220613;R-HSA-1225957;R-HSA-1247844;R-HSA-1225960;R-HSA-1225961;R-HSA-1169421"
R-HSA-9819196,"Zygotic genome activation (ZGA)",1,26,0.0015999015445203372,0.05146731532730897,0.07998160693548184,2,17,0.0010566225371371745,9606,Homo sapiens,"TP53","","R-HSA-9816389;R-HSA-9816369"
R-HSA-109581,"Apoptosis",2,180,0.011076241462063874,0.051647859812641195,0.07998160693548184,5,142,0.008825905898439929,9606,Homo sapiens,"STAT3;TP53","","R-HSA-4331331;R-HSA-140214;R-HSA-139913;R-HSA-4331340;R-HSA-6790025"
R-HSA-9705462,"Inactivation of CSF3 (G-CSF) signaling",1,27,0.001661436219309581,0.05339463309246073,0.07998160693548184,4,9,5.593884020137983E-4,9606,Homo sapiens,"STAT3","","R-HSA-9705461;R-HSA-9705458;R-HSA-9705465;R-HSA-9705466"
R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",1,27,0.001661436219309581,0.05339463309246073,0.07998160693548184,2,5,3.1077133445211015E-4,9606,Homo sapiens,"GRIA2","","R-HSA-438037;R-HSA-432162"
R-HSA-9671555,"Signaling by PDGFR in disease",1,27,0.001661436219309581,0.05339463309246073,0.07998160693548184,2,24,0.0014917024053701287,9606,Homo sapiens,"STAT3","","R-HSA-9672176;R-HSA-9672159"
R-HSA-6803205,"TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain",1,28,0.0017229708940988246,0.05531815318840538,0.07998160693548184,14,19,0.0011809310709180185,9606,Homo sapiens,"TP53","","R-HSA-6797766;R-HSA-6799462;R-HSA-6800836;R-HSA-6797763;R-HSA-6801089;R-HSA-6799441;R-HSA-5633314;R-HSA-6800816;R-HSA-6791327;R-HSA-6801087;R-HSA-5633295;R-HSA-6800253;R-HSA-6791323;R-HSA-6800250"
R-HSA-6804115,"TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain",1,28,0.0017229708940988246,0.05531815318840538,0.07998160693548184,10,14,8.701597364659083E-4,9606,Homo sapiens,"TP53","","R-HSA-6801637;R-HSA-6802165;R-HSA-6798020;R-HSA-6798031;R-HSA-6803935;R-HSA-6803917;R-HSA-6803914;R-HSA-6803946;R-HSA-6802170;R-HSA-6801641"
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",1,28,0.0017229708940988246,0.05531815318840538,0.07998160693548184,4,11,6.836969357946423E-4,9606,Homo sapiens,"STAT3","","R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670412"
R-HSA-9669938,"Signaling by KIT in disease",1,28,0.0017229708940988246,0.05531815318840538,0.07998160693548184,4,26,0.0016160109391509727,9606,Homo sapiens,"STAT3","","R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670412"
R-HSA-9013507,"NOTCH3 Activation and Transmission of Signal to the Nucleus",1,28,0.0017229708940988246,0.05531815318840538,0.07998160693548184,2,15,9.323140033563305E-4,9606,Homo sapiens,"EGFR","","R-HSA-9018573;R-HSA-9018572"
R-HSA-8854691,"Interleukin-20 family signaling",1,29,0.0017845055688880684,0.057237882864835665,0.07998160693548184,26,56,0.0034806389458636334,9606,Homo sapiens,"STAT3","","R-HSA-8987080;R-HSA-8987150;R-HSA-8987214;R-HSA-8987266;R-HSA-8987141;R-HSA-8987014;R-HSA-8987270;R-HSA-8987097;R-HSA-8987161;R-HSA-8987033;R-HSA-8987096;R-HSA-9005340;R-HSA-8987230;R-HSA-8982163;R-HSA-6784765;R-HSA-8982162;R-HSA-8982165;R-HSA-6784763;R-HSA-8987156;R-HSA-8986985;R-HSA-8987052;R-HSA-8987104;R-HSA-8987236;R-HSA-8987070;R-HSA-8987255;R-HSA-8987063"
R-HSA-9634638,"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",1,29,0.0017845055688880684,0.057237882864835665,0.07998160693548184,1,12,7.458512026850643E-4,9606,Homo sapiens,"EGFR","","R-HSA-9625465"
R-HSA-982772,"Growth hormone receptor signaling",1,29,0.0017845055688880684,0.057237882864835665,0.07998160693548184,2,28,0.0017403194729318167,9606,Homo sapiens,"STAT3","","R-HSA-1168768;R-HSA-1168767"
R-HSA-5689880,"Ub-specific processing proteases",2,192,0.011814657559534798,0.057893444112111614,0.07998160693548184,2,40,0.0024861706756168812,9606,Homo sapiens,"PTEN;TP53","","R-HSA-5689973;R-HSA-5689950"
R-HSA-9665686,"Signaling by ERBB2 TMD/JMD mutants",1,30,0.0018460402436773122,0.059153829358040366,0.07998160693548184,10,13,8.080054695754863E-4,9606,Homo sapiens,"EGFR","","R-HSA-9665699;R-HSA-9665698;R-HSA-9665697;R-HSA-9665701;R-HSA-9665700;R-HSA-9665707;R-HSA-9665706;R-HSA-9665705;R-HSA-9665704;R-HSA-9665709"
R-HSA-6783589,"Interleukin-6 family signaling",1,30,0.0018460402436773122,0.059153829358040366,0.07998160693548184,6,34,0.002113245074274349,9606,Homo sapiens,"STAT3","","R-HSA-1112565;R-HSA-1112727;R-HSA-1112602;R-HSA-1112538;R-HSA-1112587;R-HSA-1112604"
R-HSA-2160916,"Hyaluronan degradation",1,31,0.0019075749184665558,0.06106599989095196,0.07998160693548184,2,12,7.458512026850643E-4,9606,Homo sapiens,"CD44","","R-HSA-2160884;R-HSA-2160892"
R-HSA-9620244,"Long-term potentiation",1,31,0.0019075749184665558,0.06106599989095196,0.07998160693548184,1,7,4.350798682329542E-4,9606,Homo sapiens,"GRIA2","","R-HSA-9618750"
R-HSA-1266695,"Interleukin-7 signaling",1,31,0.0019075749184665558,0.06106599989095196,0.07998160693548184,3,26,0.0016160109391509727,9606,Homo sapiens,"STAT3","","R-HSA-8983059;R-HSA-8983077;R-HSA-8983078"
R-HSA-2559583,"Cellular Senescence",2,199,0.012245400283059505,0.06165346542112771,0.07998160693548184,10,90,0.005593884020137983,9606,Homo sapiens,"STAT3;TP53","","R-HSA-6804998;R-HSA-6804996;R-HSA-3239014;R-HSA-6804879;R-HSA-3858387;R-HSA-3786258;R-HSA-4647613;R-HSA-4647594;R-HSA-4647593;R-HSA-5693609"
R-HSA-1643713,"Signaling by EGFR in Cancer",1,32,0.0019691095932557997,0.06297440167314283,0.07998160693548184,41,42,0.002610479209397725,9606,Homo sapiens,"EGFR","","R-HSA-1218833;R-HSA-1225947;R-HSA-1225950;R-HSA-1226014;R-HSA-1225951;R-HSA-1226012;R-HSA-1225949;R-HSA-5637766;R-HSA-1220610;R-HSA-1248002;R-HSA-1220611;R-HSA-5637764;R-HSA-5637765;R-HSA-1220614;R-HSA-1220612;R-HSA-1220613;R-HSA-5637770;R-HSA-1248655;R-HSA-1169421;R-HSA-5637808;R-HSA-1225978;R-HSA-1247999;R-HSA-5638137;R-HSA-5637798;R-HSA-1247842;R-HSA-5637796;R-HSA-1225952;R-HSA-1226016;R-HSA-1247841;R-HSA-5637794;R-HSA-5637795;R-HSA-5637792;R-HSA-1248677;R-HSA-1225956;R-HSA-1225957;R-HSA-1247844;R-HSA-5637806;R-HSA-1225960;R-HSA-1225961;R-HSA-5637800;R-HSA-5637801"
R-HSA-6803204,"TP53 Regulates Transcription of Genes Involved in Cytochrome C Release",1,33,0.0020306442680450435,0.06487904190087357,0.07998160693548184,20,25,0.0015538566722605508,9606,Homo sapiens,"TP53","","R-HSA-3700984;R-HSA-4331331;R-HSA-6791302;R-HSA-6801184;R-HSA-6801166;R-HSA-139913;R-HSA-3700981;R-HSA-6791306;R-HSA-4331340;R-HSA-6797993;R-HSA-6798615;R-HSA-6791285;R-HSA-6798004;R-HSA-6798611;R-HSA-140214;R-HSA-6801213;R-HSA-6791291;R-HSA-6799418;R-HSA-6801209;R-HSA-6799416"
R-HSA-9734009,"Defective Intrinsic Pathway for Apoptosis",1,33,0.0020306442680450435,0.06487904190087357,0.07998160693548184,1,24,0.0014917024053701287,9606,Homo sapiens,"TP53","","R-HSA-9723906"
R-HSA-5620971,"Pyroptosis",1,34,0.0020921789428342873,0.06677992775710628,0.07998160693548184,2,24,0.0014917024053701287,9606,Homo sapiens,"TP53","","R-HSA-9710306;R-HSA-9710323"
R-HSA-9664565,"Signaling by ERBB2 KD Mutants",1,35,0.0021537136176235307,0.06867706641151805,0.07998160693548184,13,17,0.0010566225371371745,9606,Homo sapiens,"EGFR","","R-HSA-9665009;R-HSA-9664976;R-HSA-9664567;R-HSA-9664983;R-HSA-9664950;R-HSA-9664918;R-HSA-9664991;R-HSA-9664933;R-HSA-9665034;R-HSA-9665032;R-HSA-9665000;R-HSA-9664588;R-HSA-9664940"
R-HSA-9674555,"Signaling by CSF3 (G-CSF)",1,35,0.0021537136176235307,0.06867706641151805,0.07998160693548184,9,21,0.0013052396046988625,9606,Homo sapiens,"STAT3","","R-HSA-9674563;R-HSA-9674562;R-HSA-9705461;R-HSA-9674567;R-HSA-9674550;R-HSA-9705458;R-HSA-9705465;R-HSA-9674542;R-HSA-9705466"
R-HSA-1250196,"SHC1 events in ERBB2 signaling",1,36,0.0022152482924127745,0.07057046502054865,0.07998160693548184,4,6,3.7292560134253216E-4,9606,Homo sapiens,"EGFR","","R-HSA-1250195;R-HSA-1250486;R-HSA-1963578;R-HSA-1250463"
R-HSA-1227990,"Signaling by ERBB2 in Cancer",1,36,0.0022152482924127745,0.07057046502054865,0.07998160693548184,36,62,0.0038535645472061657,9606,Homo sapiens,"EGFR","","R-HSA-9664976;R-HSA-9664983;R-HSA-9664918;R-HSA-9664991;R-HSA-9665411;R-HSA-9665410;R-HSA-9665409;R-HSA-9665408;R-HSA-9665415;R-HSA-9665413;R-HSA-9665034;R-HSA-9665417;R-HSA-9665416;R-HSA-9665032;R-HSA-9664588;R-HSA-9665009;R-HSA-9664567;R-HSA-9664950;R-HSA-9665407;R-HSA-9665406;R-HSA-9665404;R-HSA-9665699;R-HSA-9665698;R-HSA-9665697;R-HSA-9665701;R-HSA-9664933;R-HSA-9665700;R-HSA-9665707;R-HSA-9665706;R-HSA-9665705;R-HSA-9665704;R-HSA-9665000;R-HSA-9665709;R-HSA-9665389;R-HSA-9665388;R-HSA-9664940"
R-HSA-8863795,"Downregulation of ERBB2 signaling",1,36,0.0022152482924127745,0.07057046502054865,0.07998160693548184,4,14,8.701597364659083E-4,9606,Homo sapiens,"EGFR","","R-HSA-1963563;R-HSA-8864125;R-HSA-8863804;R-HSA-8864105"
R-HSA-114452,"Activation of BH3-only proteins",1,36,0.0022152482924127745,0.07057046502054865,0.07998160693548184,4,19,0.0011809310709180185,9606,Homo sapiens,"TP53","","R-HSA-4331331;R-HSA-140214;R-HSA-139913;R-HSA-4331340"
R-HSA-9008059,"Interleukin-37 signaling",1,36,0.0022152482924127745,0.07057046502054865,0.07998160693548184,1,14,8.701597364659083E-4,9606,Homo sapiens,"STAT3","","R-HSA-9009072"
R-HSA-6798695,"Neutrophil degranulation",3,478,0.029413574549258508,0.07220769236016633,0.07998160693548184,5,10,6.215426689042203E-4,9606,Homo sapiens,"IDH1;CHI3L1;CD44","","R-HSA-6798743;R-HSA-6800434;R-HSA-6798749;R-HSA-6798748;R-HSA-6798745"
R-HSA-182971,"EGFR downregulation",1,37,0.0022767829672020183,0.07246013072739665,0.07998160693548184,19,22,0.0013673938715892846,9606,Homo sapiens,"EGFR","","R-HSA-8867047;R-HSA-183072;R-HSA-8867044;R-HSA-8867041;R-HSA-182986;R-HSA-183051;R-HSA-8951490;R-HSA-182990;R-HSA-183055;R-HSA-183084;R-HSA-183058;R-HSA-182994;R-HSA-183089;R-HSA-182993;R-HSA-183002;R-HSA-183067;R-HSA-8864029;R-HSA-182969;R-HSA-183036"
R-HSA-399719,"Trafficking of AMPA receptors",1,37,0.0022767829672020183,0.07246013072739665,0.07998160693548184,3,4,2.486170675616881E-4,9606,Homo sapiens,"GRIA2","","R-HSA-421007;R-HSA-416639;R-HSA-416985"
R-HSA-9820960,"Respiratory syncytial virus (RSV) attachment and entry",1,37,0.0022767829672020183,0.07246013072739665,0.07998160693548184,1,7,4.350798682329542E-4,9606,Homo sapiens,"EGFR","","R-HSA-9837625"
R-HSA-186763,"Downstream signal transduction",1,37,0.0022767829672020183,0.07246013072739665,0.07998160693548184,1,16,9.944682702467524E-4,9606,Homo sapiens,"STAT3","","R-HSA-380782"
R-HSA-168256,"Immune System",10,3033,0.18663466863577627,0.07343138719051834,0.07998160693548184,118,1895,0.11778233575734974,9606,Homo sapiens,"SOX2;IDH1;STAT3;PTEN;CHI3L1;TP53;CD44","","R-HSA-1112602;R-HSA-8987266;R-HSA-1112604;R-HSA-8985988;R-HSA-8987014;R-HSA-8987270;R-HSA-8987033;R-HSA-8982163;R-HSA-8982162;R-HSA-1112587;R-HSA-8982165;R-HSA-8950441;R-HSA-199456;R-HSA-6784323;R-HSA-8952749;R-HSA-9835443;R-HSA-8987052;R-HSA-9942461;R-HSA-6786124;R-HSA-1031716;R-HSA-1031713;R-HSA-6789960;R-HSA-8987070;R-HSA-9009072;R-HSA-8987063;R-HSA-8987080;R-HSA-8950733;R-HSA-8984014;R-HSA-6786095;R-HSA-9749464;R-HSA-8950724;R-HSA-9680348;R-HSA-8987097;R-HSA-8987096;R-HSA-6800434;R-HSA-6786097;R-HSA-9942221;R-HSA-8984021;R-HSA-8950485;R-HSA-8984023;R-HSA-6784006;R-HSA-9705461;R-HSA-9705458;R-HSA-6788623;R-HSA-8987104;R-HSA-6788622;R-HSA-9833723;R-HSA-9705465;R-HSA-1168767;R-HSA-9705466;R-HSA-6784791;R-HSA-6788628;R-HSA-8950780;R-HSA-8950269;R-HSA-8950782;R-HSA-9749487;R-HSA-8950518;R-HSA-8952823;R-HSA-6786072;R-HSA-6788582;R-HSA-8987150;R-HSA-1112727;R-HSA-6789615;R-HSA-8987141;R-HSA-9006873;R-HSA-8987161;R-HSA-1168768;R-HSA-6786293;R-HSA-9946883;R-HSA-9005340;R-HSA-9680389;R-HSA-9680388;R-HSA-8983059;R-HSA-6784765;R-HSA-6784763;R-HSA-8987156;R-HSA-9006870;R-HSA-8985900;R-HSA-9674550;R-HSA-8983077;R-HSA-8983078;R-HSA-6788571;R-HSA-9674542;R-HSA-8950583;R-HSA-8985929;R-HSA-9946710;R-HSA-8983371;R-HSA-8983373;R-HSA-8983374;R-HSA-8987214;R-HSA-1112538;R-HSA-9674563;R-HSA-9674562;R-HSA-9674567;R-HSA-8987230;R-HSA-8983379;R-HSA-6797245;R-HSA-8983378;R-HSA-9836362;R-HSA-8986985;R-HSA-9909623;R-HSA-6790022;R-HSA-1112565;R-HSA-8985966;R-HSA-9946750;R-HSA-6790029;R-HSA-8987236;R-HSA-6790025;R-HSA-6798743;R-HSA-6790038;R-HSA-6790036;R-HSA-8985981;R-HSA-6798749;R-HSA-6798748;R-HSA-6798745;R-HSA-8987255;R-HSA-9909609;R-HSA-6790041"
R-HSA-9675126,"Diseases of mitotic cell cycle",1,38,0.002338317641991262,0.07434607066206755,0.07998160693548184,2,5,3.1077133445211015E-4,9606,Homo sapiens,"ATRX","","R-HSA-9670619;R-HSA-9670620"
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",1,39,0.002399852316780506,0.07622829194138636,0.07998160693548184,5,9,5.593884020137983E-4,9606,Homo sapiens,"GRIA2","","R-HSA-421007;R-HSA-416639;R-HSA-399711;R-HSA-420975;R-HSA-416985"
R-HSA-6804758,"Regulation of TP53 Activity through Acetylation",1,39,0.002399852316780506,0.07622829194138636,0.07998160693548184,7,14,8.701597364659083E-4,9606,Homo sapiens,"TP53","","R-HSA-6811479;R-HSA-6805638;R-HSA-5628871;R-HSA-6811508;R-HSA-6805620;R-HSA-6805650;R-HSA-3222093"
R-HSA-1839124,"FGFR1 mutant receptor activation",1,39,0.002399852316780506,0.07622829194138636,0.07998160693548184,1,25,0.0015538566722605508,9606,Homo sapiens,"STAT3","","R-HSA-1888198"
R-HSA-5357801,"Programmed Cell Death",2,225,0.01384530182757984,0.07631728750238465,0.07998160693548184,7,194,0.012057927776741873,9606,Homo sapiens,"STAT3;TP53","","R-HSA-4331331;R-HSA-140214;R-HSA-9710306;R-HSA-9710323;R-HSA-139913;R-HSA-4331340;R-HSA-6790025"
R-HSA-1855204,"Synthesis of IP3 and IP4 in the cytosol",1,40,0.0024613869915697494,0.0781068016690114,0.07998160693548184,1,12,7.458512026850643E-4,9606,Homo sapiens,"PTEN","","R-HSA-1855205"
R-HSA-9680350,"Signaling by CSF1 (M-CSF) in myeloid cells",1,41,0.002522921666358993,0.07998160693548184,0.07998160693548184,3,14,8.701597364659083E-4,9606,Homo sapiens,"STAT3","","R-HSA-9680389;R-HSA-9680388;R-HSA-9680348"
R-HSA-2142845,"Hyaluronan metabolism",1,41,0.002522921666358993,0.07998160693548184,0.07998160693548184,3,15,9.323140033563305E-4,9606,Homo sapiens,"CD44","","R-HSA-2160915;R-HSA-2160884;R-HSA-2160892"
R-HSA-349425,"Autodegradation of the E3 ubiquitin ligase COP1",1,41,0.002522921666358993,0.07998160693548184,0.07998160693548184,1,5,3.1077133445211015E-4,9606,Homo sapiens,"TP53","","R-HSA-264435"
R-HSA-9730414,"MITF-M-regulated melanocyte development",2,233,0.014337579225893791,0.08103519674340676,0.08103519674340676,4,150,0.009323140033563304,9606,Homo sapiens,"SOX2","","R-HSA-9730412;R-HSA-9732125;R-HSA-9926523;R-HSA-9926490"
R-HSA-70635,"Urea cycle",1,42,0.002584456341148237,0.08185271481821332,0.08185271481821332,6,17,0.0010566225371371745,9606,Homo sapiens,"TP53","","R-HSA-9959863;R-HSA-9959860;R-HSA-9959874;R-HSA-9959857;R-HSA-9959871;R-HSA-9959881"
R-HSA-2559585,"Oncogene Induced Senescence",1,42,0.002584456341148237,0.08185271481821332,0.08185271481821332,3,19,0.0011809310709180185,9606,Homo sapiens,"TP53","","R-HSA-6804998;R-HSA-6804996;R-HSA-6804879"
R-HSA-6804757,"Regulation of TP53 Degradation",1,43,0.002645991015937481,0.08372013238154574,0.08372013238154574,11,30,0.001864628006712661,9606,Homo sapiens,"TP53","","R-HSA-5633460;R-HSA-6804998;R-HSA-6793685;R-HSA-6804996;R-HSA-6791409;R-HSA-6804879;R-HSA-3700992;R-HSA-6792491;R-HSA-3700997;R-HSA-6804441;R-HSA-3215310"
R-HSA-69541,"Stabilization of p53",1,46,0.002830595040305212,0.08930031360271828,0.08930031360271828,6,15,9.323140033563305E-4,9606,Homo sapiens,"TP53","","R-HSA-5633460;R-HSA-6793685;R-HSA-69685;R-HSA-264435;R-HSA-6804879;R-HSA-5693609"
R-HSA-201556,"Signaling by ALK",1,46,0.002830595040305212,0.08930031360271828,0.08930031360271828,14,42,0.002610479209397725,9606,Homo sapiens,"STAT3","","R-HSA-9701556;R-HSA-9701524;R-HSA-9701557;R-HSA-9701525;R-HSA-9851058;R-HSA-9701565;R-HSA-9701534;R-HSA-9701529;R-HSA-9701562;R-HSA-9701531;R-HSA-9701537;R-HSA-9701569;R-HSA-9701548;R-HSA-9701549"
R-HSA-3769402,"Deactivation of the beta-catenin transactivating complex",1,46,0.002830595040305212,0.08930031360271828,0.08930031360271828,1,14,8.701597364659083E-4,9606,Homo sapiens,"SOX2","","R-HSA-5626938"
R-HSA-9670095,"Inhibition of DNA recombination at telomere",1,47,0.0028921297150944557,0.09115304027091375,0.09115304027091375,4,4,2.486170675616881E-4,9606,Homo sapiens,"ATRX","","R-HSA-9670114;R-HSA-9670149;R-HSA-9670101;R-HSA-9007926"
R-HSA-451927,"Interleukin-2 family signaling",1,47,0.0028921297150944557,0.09115304027091375,0.09115304027091375,12,59,0.0036671017465348997,9606,Homo sapiens,"STAT3","","R-HSA-8985929;R-HSA-9006873;R-HSA-8983371;R-HSA-8983373;R-HSA-8985981;R-HSA-8985900;R-HSA-8983374;R-HSA-8985966;R-HSA-8983379;R-HSA-8983378;R-HSA-8985988;R-HSA-9006870"
R-HSA-5655302,"Signaling by FGFR1 in disease",1,49,0.0030151990646729433,0.0948475350140423,0.0948475350140423,1,35,0.002175399341164771,9606,Homo sapiens,"STAT3","","R-HSA-1888198"
R-HSA-157118,"Signaling by NOTCH",2,260,0.015999015445203373,0.09759852465609309,0.09759852465609309,4,165,0.010255454036919635,9606,Homo sapiens,"TP53;EGFR","","R-HSA-9018573;R-HSA-9018572;R-HSA-4395236;R-HSA-1912406"
R-HSA-1433557,"Signaling by SCF-KIT",1,51,0.0031382684142514305,0.09852746481028618,0.09852746481028618,4,39,0.002424016408726459,9606,Homo sapiens,"STAT3","","R-HSA-1433456;R-HSA-1470012;R-HSA-1470010;R-HSA-1470009"
R-HSA-445989,"TAK1-dependent IKK and NF-kappa-B activation  ",1,55,0.003384407113408406,0.10584385188615597,0.10584385188615597,2,17,0.0010566225371371745,9606,Homo sapiens,"TP53","","R-HSA-9749487;R-HSA-9749464"
